,perturbSolution!,,,,perturbSolution30!,,,,perturbSolution28a!,,,
Instances,#C,#U,CPUt (s),r (%),#C,#U,CPUt (s),r (%),#C,#U,CPUt (s),r (%)
sppaa03,12,5,239.836263183,76.19438806856729,9,7,228.726588978,76.33258734099635,16,5,244.463325412,76.19438806856729
sppaa05,13,5,231.829398576,69.0499675340125,10,5,225.975962108,69.0499675340125,14,5,234.203062565,69.0499675340125
sppnw01,2,10,56.920082962,81.52527316027351,4,11,59.89068487,82.4331769851849,7,10,61.511352057,81.52527316027351
sppnw03,5,5,24.49842959,80.78071719288855,4,5,23.668559884,80.78071719288855,13,5,26.058883136,80.78071719288855
sppnw04,20,3,53.656078713,55.142181457454555,18,4,53.462260267,64.01871994008778,33,3,54.678426282,55.142181457454555
sppnw05,5,6,141.649644897,33.79241079960838,8,6,148.381230105,26.870848750260752,5,6,156.262333257,33.79241079960838
sppnw06,8,3,2.952636852,78.22106743993807,10,3,3.003606768,78.22106743993807,14,3,2.989004125,78.22106743993807
sppnw07,4,8,1.452360311,78.07186884530978,5,6,1.593075952,79.32894590575542,10,7,1.687599535,77.91175580586527
sppnw08,0,5,0.231659908,82.66520611275935,0,5,0.232346666,82.66520611275935,0,5,0.24575965,82.66520611275935
sppnw09,0,6,0.701894355,87.32807851125418,0,6,0.725551864,87.32807851125418,0,6,0.706554233,87.32807851125418
sppnw10,0,7,0.300780605,99.22427263684244,0,7,0.299404844,99.22427263684244,0,7,0.306752983,99.22427263684244
sppnw11,2,7,2.06806717,97.18602312385907,1,8,1.918052439,97.20889431643404,6,7,2.079505249,97.18602312385907
sppnw12,1,7,0.279146157,86.2869828793362,2,7,0.276586491,86.2869828793362,5,7,0.28567935,86.2869828793362
sppnw13,7,6,4.457588948,74.71393441771303,30,5,5.766968354,70.63468687129237,37,3,6.237870202,65.10766911367467
sppnw14,1,9,60.714842875,86.07847980865766,3,9,62.588547675,86.07847980865766,5,9,63.238361596,86.07847980865766
sppnw15,0,3,0.302046631,100.0,0,3,0.290032248,100.0,0,3,0.288919749,100.0
sppnw16,0,2,88.127784813,1.1281603950428456,0,2,88.893257709,1.1281603950428456,0,2,88.93528044,1.1281603950428456
sppnw17,5,6,99.2196182,68.89548539562882,5,6,99.161593814,68.89548539562882,10,6,100.443247111,68.89548539562882
sppnw18,14,1,12.848544963,,24,3,12.998016485,69.15255518594749,26,1,13.035403512,
sppnw19,5,3,0.907311155,87.83520690885301,6,3,0.935191616,87.83520690885301,13,3,0.947062421,87.83520690885301
sppnw20,6,2,0.297239481,76.29244375223065,5,2,0.305255486,76.29244375223065,10,2,0.324542776,76.29244375223065
sppnw21,1,4,0.289244152,92.95346244378536,1,4,0.284903549,92.95346244378536,6,4,0.304840111,92.95346244378536
sppnw22,12,4,0.302038354,93.2885068341055,9,6,0.311884279,94.71904514140556,28,4,0.320711959,93.2885068341055
sppnw23,12,3,0.392352234,92.36200797931052,14,3,0.367738883,92.36200797931052,18,3,0.36382886,92.36200797931052
sppnw24,6,4,0.511541059,76.43830085840841,8,4,0.511867235,76.43830085840841,21,4,0.557503228,76.43830085840841
sppnw25,1,7,0.412419792,85.17032260619423,1,7,0.402656678,85.17032260619423,4,7,0.406088668,85.17032260619423
sppnw26,15,2,0.382489601,65.46317161175217,26,3,0.400363371,81.11704879218065,39,2,0.397446744,65.46317161175217
sppnw27,2,1,0.400011473,,6,1,0.431010247,,8,1,0.433574503,
sppnw28,4,3,0.386548143,92.40311215502055,4,3,0.433828609,92.40311215502055,16,3,0.421491071,92.40311215502055
sppnw29,5,3,0.705278491,78.44866545903423,7,3,0.718339658,78.44866545903423,8,4,0.755052819,80.40722196662688
sppnw30,8,3,0.672647189,95.92442339709466,6,4,0.675919758,85.82875727143562,12,3,0.696854228,83.77556482894798
sppnw31,6,6,0.786563655,83.99935219342,7,6,0.794614012,83.99935219342,9,7,0.764720925,84.0740112297674
sppnw32,6,4,0.261596108,97.5923395386242,13,5,0.249775789,98.78770337489568,17,4,0.258789054,97.5923395386242
sppnw33,8,5,0.861542211,79.7406905971527,8,6,0.860856344,88.70348659745977,25,5,0.980048461,79.7406905971527
sppnw34,3,6,0.358009613,85.54563517376532,4,6,0.337278784,88.67282982977645,14,6,0.35498402,84.27646833393274
sppnw35,6,4,0.526873217,89.70312827091136,13,5,0.580280033,92.36751705758618,13,5,0.561846634,92.36751705758618
sppnw36,8,2,0.602010199,86.13599217705293,12,2,0.6314278,86.13599217705293,27,2,0.653441159,86.13599217705293
sppnw37,0,4,0.270214505,88.23943595169168,0,4,0.276058447,88.23943595169168,0,4,0.272627471,88.23943595169168
sppnw38,11,4,0.481777038,47.61048085490361,14,4,0.47995274,75.75233279238523,30,5,0.531511907,66.3362334961277
sppnw39,7,4,0.375736844,80.3286221960918,20,5,0.434072939,65.90205881077553,34,4,0.418648473,62.905238982525525
sppnw40,4,5,0.264468579,59.38425134103588,6,4,0.285509266,58.75980486020927,17,4,0.29973725,63.798812722361696
sppnw41,1,3,0.201931622,83.74833372317015,1,3,0.207613909,83.74833372317015,6,3,0.216292738,83.74833372317015
sppnw42,7,4,0.426025364,95.7031353831583,17,4,0.441192453,95.7031353831583,28,4,0.473268798,95.7031353831583
sppnw43,13,4,0.435619044,79.41835397540153,20,4,0.453878739,79.41835397540153,26,4,0.48432899,79.41835397540153
,perturbSolution!,,,,perturbSolution30!,,,,perturbSolution28a!,,,
