,perturbSolution!,,,,perturbSolution30!,,,,perturbSolution28a!,,,
Instances,#C,#U,CPUt (s),r (%),#C,#U,CPUt (s),r (%),#C,#U,CPUt (s),r (%)
sppaa03,11.3,5.0,241.75725111089997,76.19438806856728,10.7,6.3,241.06926846240003,76.34284180708535,16.0,5.0,247.45747776340005,76.19438806856728
sppaa05,11.9,5.0,232.9463945027,69.04996753401248,9.2,5.4,230.78848645860003,69.38927809107085,14.0,5.0,236.538950626,69.04996753401248
sppnw01,2.0,10.0,57.056509149,81.52527316027351,2.7,10.5,58.2128648201,81.97922507272921,7.0,10.0,61.6746221182,81.52527316027351
sppnw03,5.1,5.1,24.596040121999998,80.79947787725006,7.8,5.1,25.450371505999996,80.96605133014181,13.0,5.0,26.189070534900004,80.78071719288856
sppnw04,19.5,3.0,52.9890186178,58.15001326479556,20.2,3.2,53.3381250376,62.03056497905353,33.0,3.0,54.4071455969,55.142181457454555
sppnw05,5.0,6.0,140.71917708200002,28.675251217835502,7.7,6.0,148.4513692327,28.755616092772925,5.0,6.0,155.96309667,33.79241079960838
sppnw06,5.6,3.0,2.8731076912,78.22106743993808,7.5,3.0,2.9204621103,78.22106743993808,14.0,3.0,3.0091699429000003,78.22106743993808
sppnw07,3.1,8.0,1.4458334082,78.0718688453098,4.4,6.9,1.488839575,78.24384270182867,10.0,7.0,1.5662530228999998,77.91175580586527
sppnw08,0.0,5.0,0.2326484143,82.66520611275936,0.0,5.0,0.23882946830000001,82.66520611275936,0.0,5.0,0.23917315890000004,82.66520611275936
sppnw09,0.0,6.0,0.7125388932,87.32807851125416,0.0,6.0,0.7270539341,87.32807851125416,0.0,6.0,0.7153625303000001,87.32807851125416
sppnw10,0.0,7.0,0.30868257849999997,99.22427263684244,0.0,7.0,0.3083442571,99.22427263684244,0.0,7.0,0.31173986159999995,99.22427263684244
sppnw11,1.4,7.0,2.0247949341,97.18602312385907,2.4,7.5,2.0289004130999997,97.19745872014654,6.0,7.0,2.1008904400000006,97.18602312385907
sppnw12,1.0,7.4,0.2771652533000001,87.10741327721777,1.6,7.0,0.2831914991000001,86.28698287933618,5.0,7.0,0.28317006750000007,86.28698287933618
sppnw13,7.0,6.0,4.4580103336,74.86001110666217,29.3,4.1,5.876731338000001,71.22961468159015,37.0,3.0,6.292436199199999,65.10766911367467
sppnw14,1.0,9.0,60.72133379099999,86.07847980865766,2.0,9.2,61.7579510847,86.2093659377724,5.0,9.0,63.70478303880001,86.07847980865766
sppnw15,0.0,3.0,0.30716796479999997,100.0,0.0,3.0,0.3009577751,100.0,0.0,3.0,0.3068759725,100.0
sppnw16,0.0,2.0,88.7512909196,1.1281603950428456,0.0,2.0,89.1881789982,1.1281603950428456,0.0,2.0,89.2244845341,1.1281603950428456
sppnw17,4.6,6.2,97.2482589544,68.9007682047554,5.5,6.0,99.03641220909999,68.89548539562882,10.0,6.0,100.40924013380001,68.89548539562882
sppnw18,15.4,1.0,12.8965829592,,21.6,2.6,13.0130211964,68.04608748887125,26.0,1.0,13.2313848108,
sppnw19,4.9,3.1,0.9058280543999999,87.85549968369523,6.3,3.0,0.9344087057000001,87.83520690885301,13.0,3.0,0.9568412703,87.83520690885301
sppnw20,4.6,2.0,0.3160892811,76.29244375223064,6.5,2.2,0.3315331367,76.38266874267876,10.0,2.0,0.3230579052,76.29244375223064
