,perturbSolution!,,,,perturbSolution30!,,,,perturbSolution28a!,,,
Instances,#C,#U,CPUt (s),r (%),#C,#U,CPUt (s),r (%),#C,#U,CPUt (s),r (%)
sppaa03,12,5,242.849187894,76.19438806856729,13,6,253.456007284,76.31181684795362,16,5,249.041556035,76.19438806856729
sppaa05,13,5,235.444280759,69.0499675340125,11,6,237.791939742,69.4666922187757,14,5,238.195414611,69.0499675340125
sppnw01,2,10,58.420035842,81.52527316027351,2,10,58.489197034,81.52527316027351,7,10,62.947100523,81.52527316027351
sppnw03,5,5,25.197218523,80.78071719288855,8,5,26.252913038,80.78071719288855,13,5,26.841836793,80.78071719288855
sppnw04,18,3,53.969026198,58.0092352047547,18,2,54.600303869,62.819743043737745,33,3,55.797380867,55.142181457454555
sppnw05,6,6,147.690472396,31.071749327313007,6,6,144.300750156,28.134582366457046,5,6,163.720962611,33.79241079960838
sppnw06,5,3,2.955313741,78.22106743993807,10,3,3.030802981,78.22106743993807,14,3,3.029800088,78.22106743993807
sppnw07,3,8,1.450458617,78.07186884530978,4,8,1.462083067,78.12188592967405,10,7,1.540305188,77.91175580586527
sppnw08,0,5,0.236907155,82.66520611275935,0,5,0.24741224,82.66520611275935,0,5,0.239248332,82.66520611275935
sppnw09,0,6,0.700367388,87.32807851125418,0,6,0.737693337,87.32807851125418,0,6,0.734340379,87.32807851125418
sppnw10,0,7,0.347239862,99.22427263684244,0,7,0.313835905,99.22427263684244,0,7,0.307067871,99.22427263684244
sppnw11,2,7,2.124848123,97.18602312385907,4,7,2.178238957,97.18602312385907,6,7,2.170208475,97.18602312385907
sppnw12,1,7,0.274330914,86.2869828793362,1,7,0.275988714,86.2869828793362,5,7,0.28932951,86.2869828793362
sppnw13,7,5,4.481751693,76.98656943470739,29,4,5.949793133,70.38596099588479,37,3,6.447926552,65.10766911367467
sppnw14,1,9,62.853340073,86.07847980865766,2,9,65.35798871,86.07847980865766,5,9,65.905410593,86.07847980865766
sppnw15,0,3,0.333361698,100.0,0,3,0.346962313,100.0,0,3,0.299380372,100.0
sppnw16,0,2,94.600651972,1.1281603950428456,0,2,92.902328192,1.1281603950428456,0,2,91.339344488,1.1281603950428456
sppnw17,4,7,102.18163358,68.92189944126169,5,6,101.076087547,68.89548539562882,10,6,104.302607851,68.89548539562882
sppnw18,15,1,13.121705808,,19,3,12.843818311,69.57534262006673,26,1,13.520722989,
sppnw19,5,3,0.968675371,87.83520690885301,6,4,0.927488586,88.46095299645967,13,3,1.010780861,87.83520690885301
sppnw20,5,2,0.317019778,76.29244375223065,4,2,0.33999412,76.29244375223065,10,2,0.326125757,76.29244375223065
sppnw21,1,4,0.308297056,92.95346244378536,1,4,0.284499575,92.95346244378536,6,4,0.297958,92.95346244378536
sppnw22,12,4,0.31059854,93.2885068341055,8,4,0.319923923,93.2885068341055,28,4,0.372408113,93.2885068341055
sppnw23,10,3,0.366491105,92.36200797931052,13,4,0.38312199,92.36200797931052,18,3,0.362906588,92.36200797931052
sppnw24,6,4,0.532415307,76.43830085840841,13,5,0.521934531,81.59861313198928,21,4,0.576176359,76.43830085840841
sppnw25,1,7,0.416334859,85.17032260619423,2,7,0.430478585,85.17032260619423,4,7,0.432914489,85.17032260619423
sppnw26,15,2,0.377387274,65.46317161175217,23,3,0.403088918,85.92050810901793,39,2,0.435596787,65.46317161175217
sppnw27,2,1,0.428918283,,6,1,0.452711879,,8,1,0.478148752,
sppnw28,5,3,0.416214922,92.40311215502055,5,3,0.43049913,92.40311215502055,16,3,0.440143787,92.40311215502055
sppnw29,3,3,0.714765743,78.44866545903423,8,3,0.77233532,78.44866545903423,8,4,0.76507743,80.40722196662688
sppnw30,8,3,0.696382689,95.92442339709466,5,3,0.710985787,83.77556482894798,12,3,0.762960432,83.77556482894798
sppnw31,5,6,0.812778232,83.99935219342,6,6,0.788424817,83.99935219342,9,7,0.806730815,84.0740112297674
sppnw32,6,4,0.251371182,97.5923395386242,7,5,0.2539295,98.78770337489568,17,4,0.274354245,97.5923395386242
sppnw33,7,6,0.887036843,80.0782554481946,7,6,0.90638917,84.88293613882256,25,5,1.040839929,79.7406905971527
sppnw34,3,7,0.326213904,86.73198964338799,5,6,0.368745444,86.46567089054462,14,6,0.383466362,84.27646833393274
sppnw35,6,4,0.569392549,89.70312827091136,9,4,0.558765078,89.70312827091136,13,5,0.583171039,92.36751705758618
sppnw36,8,2,0.608797293,86.13599217705293,17,2,0.690196269,86.13599217705293,27,2,0.733966349,86.13599217705293
sppnw37,0,4,0.287146528,88.23943595169168,0,4,0.292450954,88.23943595169168,0,4,0.282326281,88.23943595169168
sppnw38,15,5,0.550606766,47.61048085490361,16,3,0.517057259,91.28712499947567,30,5,0.566165775,66.3362334961277
sppnw39,8,4,0.360241749,81.18966953756943,21,5,0.445970867,65.90661226306239,34,4,0.449660801,62.905238982525525
sppnw40,4,4,0.28598698,58.75980486020927,5,4,0.276493677,58.75980486020927,17,4,0.300728902,63.798812722361696
sppnw41,1,3,0.208014569,83.74833372317015,1,3,0.21839982,83.74833372317015,6,3,0.258721188,83.74833372317015
sppnw42,9,4,0.433037327,95.7031353831583,8,4,0.438957823,95.7031353831583,28,4,0.470011672,95.7031353831583
sppnw43,13,4,0.439511154,79.41835397540153,16,5,0.472072121,80.2561567334526,26,4,0.512047822,79.41835397540153
,perturbSolution!,,,,perturbSolution30!,,,,perturbSolution28a!,,,
