,perturbSolution!,,,,perturbSolution30!,,,,perturbSolution28a!,,,
Instances,#C,#U,CPUt (s),r (%),#C,#U,CPUt (s),r (%),#C,#U,CPUt (s),r (%)
sppaa03,10,5,240.357375962,76.19438806856729,11,6,236.331486026,76.38080917392853,16,5,245.684316446,76.19438806856729
sppaa05,11,5,231.227469174,69.0499675340125,10,6,226.988422502,69.11898487378353,14,5,234.033818208,69.0499675340125
sppnw01,2,10,57.026901997,81.52527316027351,3,10,58.608285475,81.52527316027351,7,10,61.0455635,81.52527316027351
sppnw03,5,5,24.614241815,80.78071719288855,8,5,25.348081985,80.78071719288855,13,5,25.992637153,80.78071719288855
sppnw04,18,3,51.836270067,63.39364357896584,18,2,53.487000637,55.142181457454555,33,3,54.463779206,55.142181457454555
sppnw05,5,6,139.657896184,26.870848750260752,9,6,147.163617902,27.430217977993347,5,6,155.083431038,33.79241079960838
sppnw06,7,3,2.944791317,78.22106743993807,7,3,2.888716533,78.22106743993807,14,3,2.978047143,78.22106743993807
sppnw07,3,8,1.437911196,78.07186884530978,3,7,1.402620035,77.91175580586527,10,7,1.489602008,77.91175580586527
sppnw08,0,5,0.229475661,82.66520611275935,0,5,0.23851568,82.66520611275935,0,5,0.236839846,82.66520611275935
sppnw09,0,6,0.685889834,87.32807851125418,0,6,0.70215186,87.32807851125418,0,6,0.71587151,87.32807851125418
sppnw10,0,7,0.339720884,99.22427263684244,0,7,0.332943907,99.22427263684244,0,7,0.297256505,99.22427263684244
sppnw11,1,7,1.949346142,97.18602312385907,1,7,1.899988102,97.18602312385907,6,7,2.101746212,97.18602312385907
sppnw12,1,8,0.279097941,87.86094048150991,1,7,0.30396331,86.2869828793362,5,7,0.271835719,86.2869828793362
sppnw13,7,7,4.343135031,74.68122351793663,29,4,5.748898605,76.95589943061795,37,3,6.188855911,65.10766911367467
sppnw14,1,9,61.02969991,86.07847980865766,1,10,60.691088063,86.37836702812373,5,9,63.644176381,86.07847980865766
sppnw15,0,3,0.320208415,100.0,0,3,0.291625621,100.0,0,3,0.312899648,100.0
sppnw16,0,2,88.892540386,1.1281603950428456,0,2,88.595425719,1.1281603950428456,0,2,88.525085607,1.1281603950428456
sppnw17,4,7,96.945384526,68.92189944126169,6,6,99.793346802,68.89548539562882,10,6,100.355911576,68.89548539562882
sppnw18,16,1,12.67139395,,22,2,12.963767188,69.14606026234253,26,1,13.226544828,
sppnw19,4,3,0.897967607,87.83520690885301,6,3,0.945928202,87.83520690885301,13,3,0.95551141,87.83520690885301
sppnw20,3,2,0.34019265,76.29244375223065,8,2,0.319037312,76.29244375223065,10,2,0.335785545,76.29244375223065
sppnw21,1,4,0.266354885,92.95346244378536,1,4,0.280111885,92.95346244378536,6,4,0.287850064,92.95346244378536
sppnw22,12,4,0.299033025,93.2885068341055,9,5,0.363805956,93.60777322825962,28,4,0.342276149,93.2885068341055
sppnw23,10,3,0.388853638,92.36200797931052,12,3,0.375341548,92.36200797931052,18,3,0.369517867,92.36200797931052
sppnw24,6,4,0.483431093,76.43830085840841,7,4,0.55556987,76.43830085840841,21,4,0.530159938,76.43830085840841
sppnw25,1,7,0.410453777,85.17032260619423,1,7,0.390254159,85.17032260619423,4,7,0.409418774,85.17032260619423
sppnw26,16,2,0.398835235,65.46317161175217,22,3,0.399118242,68.41348203841319,39,2,0.414922882,65.46317161175217
sppnw27,2,1,0.396405203,,6,1,0.444142229,,8,1,0.454780389,
sppnw28,4,3,0.380213269,92.40311215502055,3,3,0.401787592,92.40311215502055,16,3,0.41469227,92.40311215502055
sppnw29,5,3,0.723985466,78.44866545903423,7,3,0.745683716,78.44866545903423,8,4,0.719041852,80.40722196662688
sppnw30,8,3,0.71321635,83.77556482894798,7,3,0.704285426,83.77556482894798,12,3,0.700364559,83.77556482894798
sppnw31,6,6,0.773246208,83.99935219342,5,7,0.778276899,84.54071420675446,9,7,0.779801353,84.0740112297674
sppnw32,7,4,0.237453457,97.5923395386242,10,5,0.248562574,98.78770337489568,17,4,0.273914334,97.5923395386242
sppnw33,7,5,0.861979673,79.7406905971527,8,5,0.82385456,79.7406905971527,25,5,0.984429629,79.7406905971527
sppnw34,3,6,0.332581922,85.54563517376532,6,6,0.337187693,88.67282982977645,14,6,0.362391511,84.27646833393274
sppnw35,5,4,0.525282604,89.70312827091136,11,5,0.556430396,93.39738823272921,13,5,0.559412288,92.36751705758618
sppnw36,8,2,0.597667243,86.13599217705293,13,2,0.655369599,86.13599217705293,27,2,0.670110488,86.13599217705293
sppnw37,0,4,0.277556723,88.23943595169168,0,4,0.302623824,88.23943595169168,0,4,0.269925617,88.23943595169168
sppnw38,14,5,0.520368963,47.61048085490361,19,3,0.495884486,91.28712499947567,30,5,0.562931622,66.3362334961277
sppnw39,7,4,0.372320966,81.18966953756943,16,5,0.405093926,65.90205881077553,34,4,0.415399773,62.905238982525525
sppnw40,5,4,0.25932112,58.75980486020927,8,4,0.276495912,58.75980486020927,17,4,0.278301526,63.798812722361696
sppnw41,1,3,0.20300915,83.74833372317015,1,3,0.213265612,83.74833372317015,6,3,0.219661198,83.74833372317015
sppnw42,9,4,0.410337324,95.7031353831583,12,4,0.440944968,95.7031353831583,28,4,0.476418303,95.7031353831583
sppnw43,14,4,0.450873199,79.41835397540153,11,5,0.425604546,80.2561567334526,26,4,0.493945957,79.41835397540153
,perturbSolution!,,,,perturbSolution30!,,,,perturbSolution28a!,,,
