,perturbSolution!,,,,perturbSolution30!,,,,perturbSolution28a!,,,
Instances,#C,#U,CPUt (s),r (%),#C,#U,CPUt (s),r (%),#C,#U,CPUt (s),r (%)
sppaa03,11,5,243.769410529,76.19438806856729,9,7,237.265598828,76.44984793825276,16,5,246.166132214,76.19438806856729
sppaa05,11,5,232.111979067,69.0499675340125,11,5,231.936780515,69.0499675340125,14,5,235.443329011,69.0499675340125
sppnw01,2,10,56.829852381,81.52527316027351,2,11,57.366925697,82.4331769851849,7,10,61.617826865,81.52527316027351
sppnw03,5,5,24.51410148,80.78071719288855,9,5,26.447573781,80.78071719288855,13,5,26.646459453,80.78071719288855
sppnw04,19,3,52.194394991,58.0092352047547,19,2,52.719497035,63.84023374884388,33,3,54.808533826,55.142181457454555
sppnw05,5,6,140.343172065,26.870848750260752,6,6,145.262988336,26.870848750260752,5,6,156.258469964,33.79241079960838
sppnw06,4,3,2.821390629,78.22106743993807,6,3,2.89706468,78.22106743993807,14,3,3.152240165,78.22106743993807
sppnw07,3,8,1.421161044,78.07186884530978,5,7,1.618102325,77.91175580586527,10,7,1.574023888,77.91175580586527
sppnw08,0,5,0.23105693,82.66520611275935,0,5,0.233102894,82.66520611275935,0,5,0.244786216,82.66520611275935
sppnw09,0,6,0.734993399,87.32807851125418,0,6,0.737659664,87.32807851125418,0,6,0.714138036,87.32807851125418
sppnw10,0,7,0.299815334,99.22427263684244,0,7,0.313199497,99.22427263684244,0,7,0.315608539,99.22427263684244
sppnw11,2,7,2.094572073,97.18602312385907,4,7,2.089582249,97.18602312385907,6,7,2.104447905,97.18602312385907
sppnw12,1,7,0.275469707,86.2869828793362,1,7,0.277913645,86.2869828793362,5,7,0.287375073,86.2869828793362
sppnw13,7,5,4.725225436,76.46920016833987,27,5,5.63019237,74.92032386106563,37,3,6.3290232,65.10766911367467
sppnw14,1,9,60.381725799,86.07847980865766,2,10,62.44456331,87.08745388033905,5,9,63.555718355,86.07847980865766
sppnw15,0,3,0.337895182,100.0,0,3,0.289413993,100.0,0,3,0.293289617,100.0
sppnw16,0,2,88.767644987,1.1281603950428456,0,2,88.955423622,1.1281603950428456,0,2,88.617921047,1.1281603950428456
sppnw17,5,6,96.599879298,68.89548539562882,6,6,98.568469017,68.89548539562882,10,6,99.428340982,68.89548539562882
sppnw18,15,1,12.785386796,,20,4,12.957039093,69.24301724602606,26,1,13.333180496,
sppnw19,7,3,0.933597717,87.83520690885301,7,3,0.944754229,87.83520690885301,13,3,0.944480013,87.83520690885301
sppnw20,7,2,0.300583471,76.29244375223065,5,3,0.312482869,76.74356870447119,10,2,0.343476585,76.29244375223065
sppnw21,1,4,0.271500218,92.95346244378536,1,4,0.279205577,92.95346244378536,6,4,0.286444742,92.95346244378536
sppnw22,12,4,0.30048565,93.2885068341055,12,5,0.33648162,94.62289541652517,28,4,0.320498792,93.2885068341055
sppnw23,9,3,0.365142544,92.36200797931052,14,3,0.353124766,92.36200797931052,18,3,0.389525329,92.36200797931052
sppnw24,6,4,0.526327891,76.43830085840841,8,4,0.512605524,76.43830085840841,21,4,0.56002663,76.43830085840841
sppnw25,1,7,0.372324356,85.17032260619423,1,7,0.403287588,85.17032260619423,4,7,0.39421404,85.17032260619423
sppnw26,15,2,0.410982107,65.46317161175217,27,3,0.407046716,80.10460068541116,39,2,0.430607633,65.46317161175217
sppnw27,2,1,0.384989637,,5,1,0.445703007,,8,1,0.421802806,
sppnw28,4,3,0.43516652,92.40311215502055,5,3,0.429921636,92.40311215502055,16,3,0.437792126,92.40311215502055
sppnw29,5,3,0.70569585,78.44866545903423,7,3,0.735944316,78.44866545903423,8,4,0.750114081,80.40722196662688
sppnw30,8,3,0.712332004,83.77556482894798,10,3,0.709363566,83.77556482894798,12,3,0.710173105,83.77556482894798
sppnw31,7,6,0.826784501,83.99935219342,5,6,0.796642205,83.99935219342,9,7,0.777389604,84.0740112297674
sppnw32,5,4,0.267842272,97.5923395386242,8,5,0.250458054,98.78770337489568,17,4,0.291503768,97.5923395386242
sppnw33,8,5,0.874305664,79.7406905971527,12,5,0.928136761,79.7406905971527,25,5,0.965319982,79.7406905971527
sppnw34,3,6,0.355458855,85.54563517376532,6,6,0.363019039,88.67282982977645,14,6,0.385385165,84.27646833393274
sppnw35,7,4,0.538835943,89.70312827091136,9,5,0.557588396,93.39738823272921,13,5,0.567123075,92.36751705758618
sppnw36,8,2,0.607654857,86.13599217705293,17,2,0.657507608,86.13599217705293,27,2,0.663568508,86.13599217705293
sppnw37,0,4,0.30432677,88.23943595169168,0,4,0.267959377,88.23943595169168,0,4,0.269931427,88.23943595169168
sppnw38,12,6,0.458495269,47.61048085490361,13,4,0.509742212,94.1545035594253,30,5,0.534553,66.3362334961277
sppnw39,7,4,0.402180753,81.18966953756943,18,5,0.413535772,65.90205881077553,34,4,0.401587171,62.905238982525525
sppnw40,5,5,0.260807885,59.38425134103588,8,4,0.277248034,70.318149301866,17,4,0.340135688,63.798812722361696
sppnw41,1,3,0.217558242,83.74833372317015,1,3,0.213275062,83.74833372317015,6,3,0.213416082,83.74833372317015
sppnw42,11,4,0.467887652,95.7031353831583,13,4,0.451051549,95.7031353831583,28,4,0.453362039,95.7031353831583
sppnw43,7,4,0.405311235,79.41835397540153,10,4,0.467165263,79.41835397540153,26,4,0.490034889,79.41835397540153
,perturbSolution!,,,,perturbSolution30!,,,,perturbSolution28a!,,,
