,perturbSolution!,,,,perturbSolution30!,,,,perturbSolution28a!,,,
Instances,#C,#U,CPUt (s),r (%),#C,#U,CPUt (s),r (%),#C,#U,CPUt (s),r (%)
sppaa03,11,5,252.218313254,76.19438806856729,8,6,253.096503041,76.26342683289153,16,5,259.275043159,76.19438806856729
sppaa05,13,5,234.257153135,69.0499675340125,8,5,232.059382692,69.0499675340125,14,5,242.787374841,69.0499675340125
sppnw01,2,10,59.24090731,81.52527316027351,2,10,59.47426547,81.52527316027351,7,10,63.884648988,81.52527316027351
sppnw03,5,5,25.302086458,80.78071719288855,8,5,26.615581233,80.78071719288855,13,5,27.178816906,80.78071719288855
sppnw04,22,3,56.268729564,55.339003508514736,24,3,55.929554619,58.280608192325865,33,3,56.478828484,55.142181457454555
sppnw05,5,6,145.554737155,26.870848750260752,9,7,160.508509276,33.90805282690099,5,6,161.725466625,33.79241079960838
sppnw06,4,3,2.858813972,78.22106743993807,10,3,3.016544556,78.22106743993807,14,3,3.230226264,78.22106743993807
sppnw07,3,8,1.631412496,78.07186884530978,4,7,1.682411515,77.91175580586527,10,7,1.550086032,77.91175580586527
sppnw08,0,5,0.24661795,82.66520611275935,0,5,0.253563067,82.66520611275935,0,5,0.237449946,82.66520611275935
sppnw09,0,6,0.724300009,87.32807851125418,0,6,0.720946904,87.32807851125418,0,6,0.724621692,87.32807851125418
sppnw10,0,7,0.317130535,99.22427263684244,0,7,0.321906122,99.22427263684244,0,7,0.31803321,99.22427263684244
sppnw11,1,7,2.037327117,97.18602312385907,1,7,1.988555438,97.18602312385907,6,7,2.157394534,97.18602312385907
sppnw12,1,7,0.273316747,86.2869828793362,1,7,0.279331949,86.2869828793362,5,7,0.291574557,86.2869828793362
sppnw13,8,7,4.619239175,74.74636424134027,29,4,6.023091946,71.26000263725443,37,3,6.378461338,65.10766911367467
sppnw14,1,9,63.320458939,86.07847980865766,2,9,63.440583748,86.07847980865766,5,9,65.655714393,86.07847980865766
sppnw15,0,3,0.322380487,100.0,0,3,0.351127991,100.0,0,3,0.323599484,100.0
sppnw16,0,2,93.351022754,1.1281603950428456,0,2,91.910382815,1.1281603950428456,0,2,91.698643049,1.1281603950428456
sppnw17,5,6,104.744175538,68.89548539562882,4,6,99.540721482,68.89548539562882,10,6,102.52953134,68.89548539562882
sppnw18,15,1,13.684602304,,19,4,13.10078015,69.24301724602606,26,1,13.423928912,
sppnw19,4,3,0.988258129,87.83520690885301,7,3,0.948513727,87.83520690885301,13,3,0.985858918,87.83520690885301
sppnw20,4,2,0.350434845,76.29244375223065,7,2,0.353916196,76.29244375223065,10,2,0.31919228,76.29244375223065
sppnw21,1,4,0.287621401,92.95346244378536,1,4,0.283436097,92.95346244378536,6,4,0.293801589,92.95346244378536
sppnw22,13,4,0.342030014,93.2885068341055,11,4,0.330140722,93.2885068341055,28,4,0.362607774,93.2885068341055
sppnw23,11,3,0.392925554,92.36200797931052,14,4,0.389436735,92.36200797931052,18,3,0.359990498,92.36200797931052
sppnw24,6,6,0.562359577,78.48543246159248,11,4,0.533042785,76.43830085840841,21,4,0.566303289,76.43830085840841
sppnw25,1,7,0.442531006,85.17032260619423,1,7,0.43212673,85.17032260619423,4,7,0.442058759,85.17032260619423
sppnw26,15,2,0.431494138,65.46317161175217,23,3,0.426900637,85.92050810901793,39,2,0.406674242,65.46317161175217
sppnw27,2,1,0.433357901,,6,1,0.429378053,,8,1,0.488922526,
sppnw28,4,3,0.415274498,92.40311215502055,5,3,0.415363931,92.40311215502055,16,3,0.440511527,92.40311215502055
sppnw29,5,3,0.759762932,78.44866545903423,7,3,0.789462419,78.44866545903423,8,4,0.733132574,80.40722196662688
sppnw30,6,3,0.736503631,95.92442339709466,8,3,0.685231016,83.77556482894798,12,3,0.719762853,83.77556482894798
sppnw31,5,6,0.862910711,83.99935219342,8,7,0.853143093,84.0740112297674,9,7,0.819522723,84.0740112297674
sppnw32,6,4,0.256350772,97.5923395386242,11,5,0.252043966,98.78770337489568,17,4,0.269317614,97.5923395386242
sppnw33,10,5,0.976844011,79.7406905971527,12,5,0.963209161,84.24393170332645,25,5,1.019192136,79.7406905971527
sppnw34,3,6,0.380621742,85.54563517376532,3,6,0.342986055,86.46567089054462,14,6,0.373063134,84.27646833393274
sppnw35,6,4,0.579352659,89.70312827091136,9,5,0.587968256,93.39738823272921,13,5,0.571813151,92.36751705758618
sppnw36,9,2,0.666599682,86.13599217705293,14,2,0.677170607,86.13599217705293,27,2,0.708831206,86.13599217705293
sppnw37,0,4,0.317222187,88.23943595169168,0,4,0.308705142,88.23943595169168,0,4,0.276803467,88.23943595169168
sppnw38,11,4,0.518301132,91.28712499947567,15,4,0.502733521,94.1545035594253,30,5,0.57141735,66.3362334961277
sppnw39,8,3,0.385308074,80.32715098296632,15,6,0.402076196,68.02952831720906,34,4,0.442253723,62.905238982525525
sppnw40,4,4,0.274265016,58.75980486020927,7,5,0.28446841,58.76545934701403,17,4,0.284726885,63.798812722361696
sppnw41,1,3,0.219330544,83.74833372317015,1,3,0.220170922,83.74833372317015,6,3,0.219191181,83.74833372317015
sppnw42,8,4,0.466330632,95.7031353831583,9,4,0.446990028,95.7031353831583,28,4,0.495937047,95.7031353831583
sppnw43,8,4,0.469320281,79.41835397540153,14,4,0.468313178,79.41835397540153,26,4,0.474686808,79.41835397540153
,perturbSolution!,,,,perturbSolution30!,,,,perturbSolution28a!,,,
