,perturbSolution!,,,,perturbSolution30!,,,,perturbSolution28a!,,,
Instances,#C,#U,CPUt (s),r (%),#C,#U,CPUt (s),r (%),#C,#U,CPUt (s),r (%)
sppaa03,11.7,5.0,248.87230505650004,76.19438806856728,12.0,5.8,247.86739419359998,76.2779345497403,16.0,5.0,251.26264281529998,76.19438806856728
sppaa05,12.5,5.1,236.8603792035,69.0968048932369,9.5,5.5,232.68560005650002,69.52376225537087,14.0,5.0,240.8846788636,69.04996753401248
sppnw01,2.0,10.1,59.660296711700006,81.61606354276465,2.4,10.4,60.2764241716,81.91121027031173,7.0,10.0,63.838327377400006,81.52527316027351
sppnw03,5.0,5.2,25.764706339600004,80.78586409139804,8.0,5.0,26.554438312600002,80.78071719288856,13.0,5.0,27.189128555599996,80.78071719288856
sppnw04,19.8,2.7,55.78936197109999,57.33668299290607,20.4,2.9,56.0421121779,59.5159236861175,33.0,3.0,56.935581299800006,55.142181457454555
sppnw05,5.1,6.0,146.56236977129998,28.55120898108165,7.7,5.9,154.6566017287,31.010319049356905,5.0,6.0,161.8598624082,33.79241079960838
sppnw06,6.0,3.0,2.9547585672,78.22106743993808,8.3,3.0,3.0228256456,78.22106743993808,14.0,3.0,3.0553735892,78.22106743993808
sppnw07,3.1,7.9,1.5272413704999999,78.05585754136534,4.4,7.7,1.5534051850000001,78.17333654064353,10.0,7.0,1.5801772546000001,77.91175580586527
sppnw08,0.0,5.0,0.2472974534,82.66520611275936,0.0,5.0,0.2514679411,82.66520611275936,0.0,5.0,0.24780090980000002,82.66520611275936
sppnw09,0.0,6.0,0.7389972007000001,87.32807851125416,0.0,6.0,0.7564718975,87.32807851125416,0.0,6.0,0.7512671658000001,87.32807851125416
sppnw10,0.0,7.0,0.31907691979999997,99.22427263684244,0.0,7.0,0.3250278099,99.22427263684244,0.0,7.0,0.31773666529999994,99.22427263684244
sppnw11,1.2,7.0,2.0593409883,97.18602312385907,2.0,7.3,2.106358895,97.19288448163155,6.0,7.0,2.1926616413999995,97.18602312385907
sppnw12,1.0,7.3,0.2839974761,87.16098914140693,1.4,7.0,0.28729645909999996,86.28698287933618,5.0,7.0,0.28946756549999997,86.28698287933618
sppnw13,7.2,5.7,4.5280799218,75.1718806505946,28.8,4.3,5.999166024000001,71.30423871981199,37.0,3.0,6.4673710482,65.10766911367467
sppnw14,1.0,9.0,63.1436291296,86.07847980865766,1.6,9.0,63.55673911729999,86.07847980865766,5.0,9.0,65.93886488669999,86.07847980865766
sppnw15,0.0,3.0,0.3135940186,100.0,0.0,3.0,0.3186088626,100.0,0.0,3.0,0.308597495,100.0
sppnw16,0.0,2.0,92.41790526080001,1.1281603950428456,0.0,2.0,91.8378074671,1.1281603950428456,0.0,2.0,91.6681657895,1.1281603950428456
sppnw17,4.2,6.2,101.1557690768,68.92440200385663,5.0,6.0,101.84705315080001,68.89548539562882,10.0,6.0,104.4364723925,68.89548539562882
sppnw18,16.3,1.0,13.304353849100002,,20.8,2.8,13.165028515900001,68.30975571318172,26.0,1.0,13.549412747399998,
sppnw19,5.1,3.0,0.9540227865,87.83520690885301,6.0,3.3,0.9617932456,88.03487329563461,13.0,3.0,0.9878675016,87.83520690885301
sppnw20,5.7,2.0,0.3274547644,76.29244375223064,6.7,2.5,0.3429368922,76.37337564732431,10.0,2.0,0.3342951265,76.29244375223064
sppnw21,1.1,4.0,0.2899290347,92.95346244378537,1.0,4.0,0.29467504609999995,92.95346244378537,6.0,4.0,0.3036234789,92.95346244378537
sppnw22,12.1,4.0,0.33226723160000005,93.28850683410552,10.7,4.3,0.3253072337,93.46962216406584,28.0,4.0,0.35462764589999995,93.28850683410552
sppnw23,10.7,3.0,0.385733052,92.36200797931052,12.5,3.3,0.376965902,92.36200797931052,18.0,3.0,0.37984225509999997,92.36200797931052
sppnw24,6.0,4.3,0.5275433078999999,77.30480804857115,10.3,4.7,0.5462362458000001,78.67480919583133,21.0,4.0,0.5689573121,76.43830085840841
sppnw25,1.0,7.0,0.41651935560000003,85.17032260619422,1.3,7.1,0.42492923309999997,85.19598591923511,4.0,7.0,0.43643486839999995,85.17032260619422
sppnw26,16.2,2.0,0.4030288164,65.46317161175217,25.0,3.3,0.4096329273,76.93689468093307,39.0,2.0,0.4409198256,65.46317161175217
sppnw27,2.0,1.0,0.40673684889999995,,5.2,1.0,0.4357631311,,8.0,1.0,0.4603691019999999,
sppnw28,4.3,3.0,0.40352548209999994,92.40311215502057,4.4,3.0,0.4124049703,92.40311215502057,16.0,3.0,0.4328763286000001,92.40311215502057
sppnw29,4.4,3.0,0.7375116198,78.44866545903425,6.7,3.3,0.7667252552,79.03708140727608,8.0,4.0,0.7570173051,80.40722196662686
sppnw30,6.4,3.0,0.7069248146,92.27976582665065,6.3,3.0,0.7131016706000001,83.77556482894796,12.0,3.0,0.7374678733000001,83.77556482894796
sppnw31,5.3,6.0,0.8332374902999999,83.99935219342,6.1,6.2,0.8180173235,84.16240815600133,9.0,7.0,0.8075541958999999,84.0740112297674
sppnw32,6.5,4.0,0.2507324583,97.59233953862419,10.5,4.7,0.2668281169999999,98.42909422401425,17.0,4.0,0.2789741431,97.59233953862419
sppnw33,8.2,5.8,0.9199568586,80.1543035409787,10.7,5.7,0.9527920827999999,85.36414029279206,25.0,5.0,1.0210758975,79.7406905971527
sppnw34,3.0,6.1,0.3557198455,85.97699008632868,4.7,6.0,0.3697630066,85.62669861846717,14.0,6.0,0.38446294400000003,84.27646833393273
sppnw35,5.6,4.0,0.5675011473,89.70312827091138,9.9,4.9,0.5758582155,92.36666080956586,13.0,5.0,0.5793233449999999,92.36751705758617
sppnw36,8.0,2.0,0.6240377187999999,86.13599217705293,15.0,2.0,0.6794958434,86.13599217705293,27.0,2.0,0.7339001612,86.13599217705293
sppnw37,0.0,4.0,0.29251119310000007,88.23943595169168,0.0,4.0,0.28783247870000006,88.23943595169168,0.0,4.0,0.30905976650000005,88.23943595169168
sppnw38,13.1,4.2,0.5076996776,56.345809683818004,17.2,3.7,0.5227452026,85.57908053299958,30.0,5.0,0.5708557914,66.33623349612772
sppnw39,8.1,3.8,0.37438919700000006,80.75885162420552,14.7,5.6,0.40857733539999996,66.49769263152703,34.0,4.0,0.45303681949999997,62.90523898252552
sppnw40,4.6,4.7,0.2785067843000001,59.13503819738571,6.4,4.5,0.2864547767,61.819417406809336,17.0,4.0,0.319442693,63.798812722361696
sppnw41,1.0,3.0,0.2180269271,83.74833372317015,1.0,3.0,0.22544842580000002,83.74833372317015,6.0,3.0,0.26351410589999996,83.74833372317015
sppnw42,7.2,4.0,0.4474915751000001,95.70313538315828,11.1,3.8,0.4581655168,96.48688439766552,28.0,4.0,0.550005106,95.70313538315828
sppnw43,11.3,4.0,0.45147549929999997,79.41835397540152,13.5,4.2,0.46970269890000005,79.64475469116033,26.0,4.0,0.5657164535,79.41835397540152
,perturbSolution!,,,,perturbSolution30!,,,,perturbSolution28a!,,,
