,perturbSolution!,,,,perturbSolution30!,,,,perturbSolution28a!,,,
Instances,#C,#U,CPUt (s),r (%),#C,#U,CPUt (s),r (%),#C,#U,CPUt (s),r (%)
sppaa03,10,5,247.445052602,76.19438806856729,8,6,231.332204481,76.26342683289153,16,5,248.438701579,76.19438806856729
sppaa05,13,5,235.119320655,69.0499675340125,8,6,225.266232517,69.24332204539306,14,5,237.917725227,69.0499675340125
sppnw01,2,10,58.478626809,81.52527316027351,3,10,59.98942101,81.52527316027351,7,10,62.85635278,81.52527316027351
sppnw03,5,5,26.074209442,80.78071719288855,6,5,26.324561201,80.78071719288855,13,5,27.968830127,80.78071719288855
sppnw04,20,3,58.702860659,55.339003508514736,19,3,55.495902735,64.70792373690591,33,3,59.022725815,55.142181457454555
sppnw05,5,6,151.229352564,31.071749327313007,6,6,151.499379698,27.736220931150275,5,6,161.5465432,33.79241079960838
sppnw06,9,3,2.997107656,78.22106743993807,8,3,2.956582834,78.22106743993807,14,3,3.056090659,78.22106743993807
sppnw07,4,7,1.705846661,77.91175580586527,4,8,1.455080399,78.12188592967405,10,7,1.729537656,77.91175580586527
sppnw08,0,5,0.271507214,82.66520611275935,0,5,0.242595603,82.66520611275935,0,5,0.238610576,82.66520611275935
sppnw09,0,6,0.766382914,87.32807851125418,0,6,0.761031076,87.32807851125418,0,6,0.719304069,87.32807851125418
sppnw10,0,7,0.322067509,99.22427263684244,0,7,0.335174185,99.22427263684244,0,7,0.317713358,99.22427263684244
sppnw11,1,7,2.027236851,97.18602312385907,2,8,2.294332082,97.20889431643404,6,7,2.197625785,97.18602312385907
sppnw12,1,7,0.278673944,86.2869828793362,1,7,0.286258725,86.2869828793362,5,7,0.289497051,86.2869828793362
sppnw13,7,6,4.48779238,74.68287815489029,29,4,5.991659485,71.26000263725443,37,3,6.414159046,65.10766911367467
sppnw14,1,9,62.661004194,86.07847980865766,3,9,64.005130861,86.07847980865766,5,9,65.451911901,86.07847980865766
sppnw15,0,3,0.323463259,100.0,0,3,0.325042557,100.0,0,3,0.303142246,100.0
sppnw16,0,2,91.394472722,1.1281603950428456,0,2,91.317672331,1.1281603950428456,0,2,91.6273235,1.1281603950428456
sppnw17,4,7,99.37706062,68.92189944126169,5,6,102.025806893,68.89548539562882,10,6,104.518618497,68.89548539562882
sppnw18,16,1,13.280090662,,20,2,13.028689655,64.43180325152571,26,1,13.443789903,
sppnw19,4,3,0.954448055,87.83520690885301,6,3,0.954155736,87.83520690885301,13,3,0.978763485,87.83520690885301
sppnw20,7,2,0.308671796,76.29244375223065,7,3,0.33779842,76.38199225190469,10,2,0.329722182,76.29244375223065
sppnw21,1,4,0.278203728,92.95346244378536,1,4,0.32735093,92.95346244378536,6,4,0.307914081,92.95346244378536
sppnw22,12,4,0.338163481,93.2885068341055,10,4,0.303423873,93.2885068341055,28,4,0.389369897,93.2885068341055
sppnw23,11,3,0.370593452,92.36200797931052,12,3,0.376841586,92.36200797931052,18,3,0.364798733,92.36200797931052
sppnw24,6,4,0.521328993,76.43830085840841,12,4,0.526094916,76.43830085840841,21,4,0.572690812,76.43830085840841
sppnw25,1,7,0.424920086,85.17032260619423,1,8,0.412280293,85.42695573660313,4,7,0.425312546,85.17032260619423
sppnw26,15,2,0.353712685,65.46317161175217,28,3,0.411697638,70.92251940687292,39,2,0.421014957,65.46317161175217
sppnw27,2,1,0.420969068,,3,1,0.431334023,,8,1,0.458408502,
sppnw28,5,3,0.389730017,92.40311215502055,3,3,0.395866423,92.40311215502055,16,3,0.427487359,92.40311215502055
sppnw29,5,3,0.762199006,78.44866545903423,7,3,0.755066815,78.44866545903423,8,4,0.744606753,80.40722196662688
sppnw30,5,3,0.686199323,83.77556482894798,5,3,0.675905131,83.77556482894798,12,3,0.726728494,83.77556482894798
sppnw31,5,6,0.842808571,83.99935219342,5,6,0.789195078,83.99935219342,9,7,0.817711809,84.0740112297674
sppnw32,7,4,0.271303505,97.5923395386242,13,4,0.302790794,97.5923395386242,17,4,0.262813261,97.5923395386242
sppnw33,11,6,0.897865325,80.0782554481946,9,7,0.90471967,87.71666068494635,25,5,1.036379578,79.7406905971527
sppnw34,3,6,0.370649363,85.54563517376532,7,6,0.353067057,84.27646833393274,14,6,0.386410891,84.27646833393274
sppnw35,5,4,0.539558063,89.70312827091136,8,5,0.562850394,93.39738823272921,13,5,0.556073759,92.36751705758618
sppnw36,7,2,0.602590158,86.13599217705293,14,2,0.643408335,86.13599217705293,27,2,0.689852785,86.13599217705293
sppnw37,0,4,0.276369188,88.23943595169168,0,4,0.270858978,88.23943595169168,0,4,0.293532742,88.23943595169168
sppnw38,13,4,0.503568067,47.61048085490361,19,4,0.513767851,86.65729363266178,30,5,0.531519476,66.3362334961277
sppnw39,10,4,0.368151447,81.18966953756943,15,6,0.406514824,68.02952831720906,34,4,0.434216615,62.905238982525525
sppnw40,5,5,0.283381244,59.38425134103588,5,5,0.268320658,58.76545934701403,17,4,0.312994333,63.798812722361696
sppnw41,1,3,0.238041666,83.74833372317015,1,3,0.239706849,83.74833372317015,6,3,0.220217059,83.74833372317015
sppnw42,6,4,0.439561682,95.7031353831583,12,4,0.442295881,95.7031353831583,28,4,0.482013827,95.7031353831583
sppnw43,11,4,0.453392715,79.41835397540153,11,4,0.483849557,79.41835397540153,26,4,0.489892049,79.41835397540153
,perturbSolution!,,,,perturbSolution30!,,,,perturbSolution28a!,,,
