,perturbSolution!,,,,perturbSolution30!,,,,perturbSolution28a!,,,
Instances,#C,#U,CPUt (s),r (%),#C,#U,CPUt (s),r (%),#C,#U,CPUt (s),r (%)
sppaa03,10,5,231.982991028,76.19438806856729,11,6,244.278173027,76.26342683289153,16,5,245.348486441,76.19438806856729
sppaa05,13,5,233.688320234,69.0499675340125,10,5,228.636016202,69.0499675340125,14,5,234.778186878,69.0499675340125
sppnw01,2,10,57.266578503,81.52527316027351,2,11,56.957332365,82.4331769851849,7,10,61.191709269,81.52527316027351
sppnw03,5,5,24.798678169,80.78071719288855,8,5,26.281370641,80.78071719288855,13,5,26.096003924,80.78071719288855
sppnw04,17,4,50.05554014,63.908257978930415,21,2,52.833864419,67.74026886948099,33,3,54.297795252,55.142181457454555
sppnw05,5,6,140.03358865,26.870848750260752,10,6,150.098408916,28.57222738609446,5,6,155.789682144,33.79241079960838
sppnw06,5,3,2.874141458,78.22106743993807,9,3,2.902905337,78.22106743993807,14,3,2.946631908,78.22106743993807
sppnw07,3,8,1.416445943,78.07186884530978,3,7,1.393133098,77.91175580586527,10,7,1.50607232,77.91175580586527
sppnw08,0,5,0.237486273,82.66520611275935,0,5,0.234066157,82.66520611275935,0,5,0.23560281,82.66520611275935
sppnw09,0,6,0.710188498,87.32807851125418,0,6,0.714896524,87.32807851125418,0,6,0.720114124,87.32807851125418
sppnw10,0,7,0.306024034,99.22427263684244,0,7,0.300064421,99.22427263684244,0,7,0.299508805,99.22427263684244
sppnw11,1,7,1.988018329,97.18602312385907,1,7,1.94483992,97.18602312385907,6,7,2.07030836,97.18602312385907
sppnw12,1,7,0.27742278,86.2869828793362,1,7,0.268762215,86.2869828793362,5,7,0.305198069,86.2869828793362
sppnw13,7,6,4.35626115,76.654404601807,26,5,5.588508401,74.92032386106563,37,3,6.264532875,65.10766911367467
sppnw14,1,9,60.762617818,86.07847980865766,1,9,59.801402488,86.07847980865766,5,9,63.247159504,86.07847980865766
sppnw15,0,3,0.323555049,100.0,0,3,0.291857689,100.0,0,3,0.338821602,100.0
sppnw16,0,2,88.692600293,1.1281603950428456,0,2,88.656818445,1.1281603950428456,0,2,88.735547348,1.1281603950428456
sppnw17,4,6,95.886860194,68.89548539562882,5,6,97.145875969,68.89548539562882,10,6,100.158180779,68.89548539562882
sppnw18,14,1,12.86119468,,22,2,12.90456278,69.14606026234253,26,1,13.178889719,
sppnw19,4,4,0.898676622,88.03813465727505,7,3,0.939202708,87.83520690885301,13,3,0.968673665,87.83520690885301
sppnw20,4,2,0.301632024,76.29244375223065,6,2,0.3247424,76.29244375223065,10,2,0.316944705,76.29244375223065
sppnw21,1,4,0.298759914,92.95346244378536,1,4,0.305967306,92.95346244378536,6,4,0.29172487,92.95346244378536
sppnw22,12,4,0.295250992,93.2885068341055,9,5,0.292237618,94.62289541652517,28,4,0.350813873,93.2885068341055
sppnw23,10,3,0.354819368,92.36200797931052,11,3,0.347873059,92.36200797931052,18,3,0.353381487,92.36200797931052
sppnw24,6,4,0.500306818,76.43830085840841,12,5,0.53218838,83.90372589886869,21,4,0.551698407,76.43830085840841
sppnw25,1,7,0.416452274,85.17032260619423,1,7,0.448650259,85.17032260619423,4,7,0.433773013,85.17032260619423
sppnw26,16,2,0.377801131,65.46317161175217,29,2,0.388975338,65.46317161175217,39,2,0.423835205,65.46317161175217
sppnw27,2,1,0.382912967,,4,1,0.437611313,,8,1,0.449300185,
sppnw28,5,3,0.386994571,92.40311215502055,4,3,0.380218465,92.40311215502055,16,3,0.406371944,92.40311215502055
sppnw29,5,3,0.687511933,78.44866545903423,9,3,0.772139151,78.44866545903423,8,4,0.752107897,80.40722196662688
sppnw30,9,3,0.692123134,83.77556482894798,6,3,0.70902706,83.77556482894798,12,3,0.6995893,83.77556482894798
sppnw31,5,6,0.761310778,83.99935219342,5,6,0.752306159,83.99935219342,9,7,0.773471038,84.0740112297674
sppnw32,5,4,0.248582526,97.5923395386242,12,5,0.256966151,98.78770337489568,17,4,0.255785148,97.5923395386242
sppnw33,7,5,0.864655564,79.7406905971527,11,6,0.947417831,82.5744151432765,25,5,1.001942442,79.7406905971527
sppnw34,3,6,0.321425051,85.54563517376532,5,6,0.334254556,84.27646833393274,14,6,0.390432069,84.27646833393274
sppnw35,5,4,0.524153285,89.70312827091136,12,5,0.581084055,92.36751705758618,13,5,0.527076107,92.36751705758618
sppnw36,8,2,0.60707286,86.13599217705293,11,2,0.658790703,86.13599217705293,27,2,0.711152676,86.13599217705293
sppnw37,0,4,0.288272049,88.23943595169168,0,4,0.299154571,88.23943595169168,0,4,0.293211283,88.23943595169168
sppnw38,15,5,0.470836575,47.61048085490361,17,3,0.481940849,91.28712499947567,30,5,0.533616382,66.3362334961277
sppnw39,9,3,0.368007069,80.32715098296632,21,5,0.41042258,65.90205881077553,34,4,0.400036074,62.905238982525525
sppnw40,5,4,0.256549139,58.75980486020927,4,4,0.273366721,74.04373137619777,17,4,0.279127459,63.798812722361696
sppnw41,1,3,0.21266177,83.74833372317015,1,3,0.209486401,83.74833372317015,6,3,0.250244053,83.74833372317015
sppnw42,6,4,0.409948832,95.7031353831583,15,4,0.443490033,95.7031353831583,28,4,0.452853805,95.7031353831583
sppnw43,14,4,0.432176771,79.41835397540153,14,4,0.43817444,79.41835397540153,26,4,0.489858172,79.41835397540153
,perturbSolution!,,,,perturbSolution30!,,,,perturbSolution28a!,,,
