,perturbSolution!,,,,perturbSolution30!,,,,perturbSolution28a!,,,
Instances,#C,#U,CPUt (s),r (%),#C,#U,CPUt (s),r (%),#C,#U,CPUt (s),r (%)
sppaa03,13,5,247.224851156,76.19438806856729,8,7,229.77605461,76.44984793825276,16,5,250.273780128,76.19438806856729
sppaa05,12,5,235.389081777,69.0499675340125,11,5,239.424678415,69.0499675340125,14,5,243.337668799,69.0499675340125
sppnw01,2,10,61.703318846,81.52527316027351,2,10,58.938068553,81.52527316027351,7,10,63.315741225,81.52527316027351
sppnw03,5,6,25.641577098,80.80645168543595,10,5,25.978152489,80.78071719288855,13,5,27.053928477,80.78071719288855
sppnw04,18,3,52.909178578,63.39364357896584,23,2,57.016132994,55.142181457454555,33,3,56.829713989,55.142181457454555
sppnw05,5,6,144.623023438,26.870848750260752,8,6,149.20153599,26.870848750260752,5,6,161.692595861,33.79241079960838
sppnw06,6,3,2.937680048,78.22106743993807,9,3,2.997368483,78.22106743993807,14,3,3.033624951,78.22106743993807
sppnw07,3,8,1.444802772,78.07186884530978,5,8,1.497451811,78.12188592967405,10,7,1.545066577,77.91175580586527
sppnw08,0,5,0.241312573,82.66520611275935,0,5,0.239352037,82.66520611275935,0,5,0.249979634,82.66520611275935
sppnw09,0,6,0.734579445,87.32807851125418,0,6,0.889243988,87.32807851125418,0,6,0.770762236,87.32807851125418
sppnw10,0,7,0.311579788,99.22427263684244,0,7,0.307512843,99.22427263684244,0,7,0.316245096,99.22427263684244
sppnw11,1,7,2.037755379,97.18602312385907,2,8,2.087514169,97.20889431643404,6,7,2.369559481,97.18602312385907
sppnw12,1,8,0.311823482,88.06218315545424,2,7,0.274771085,86.2869828793362,5,7,0.283883152,86.2869828793362
sppnw13,7,6,4.457685157,74.71393441771303,29,5,5.906701788,70.8843779515896,37,3,6.549748823,65.10766911367467
sppnw14,1,9,62.310448778,86.07847980865766,1,9,62.946269518,86.07847980865766,5,9,66.009788966,86.07847980865766
sppnw15,0,3,0.301865854,100.0,0,3,0.300295276,100.0,0,3,0.299667561,100.0
sppnw16,0,2,91.735735406,1.1281603950428456,0,2,91.558217612,1.1281603950428456,0,2,91.467349047,1.1281603950428456
sppnw17,4,6,99.707266898,69.01365439113496,5,6,101.582584283,68.89548539562882,10,6,103.212018874,68.89548539562882
sppnw18,15,1,13.299819728,,22,2,13.107891736,69.14606026234253,26,1,13.529965011,
sppnw19,6,3,0.952761684,87.83520690885301,5,3,0.963954589,87.83520690885301,13,3,0.992505209,87.83520690885301
sppnw20,7,2,0.313355174,76.29244375223065,7,3,0.330119507,76.38199225190469,10,2,0.330866311,76.29244375223065
sppnw21,1,4,0.290004032,92.95346244378536,1,4,0.300713041,92.95346244378536,6,4,0.296816771,92.95346244378536
sppnw22,12,4,0.341302674,93.2885068341055,9,4,0.328082337,93.2885068341055,28,4,0.364148135,93.2885068341055
sppnw23,9,3,0.376536061,92.36200797931052,9,3,0.34972047,92.36200797931052,18,3,0.368807924,92.36200797931052
sppnw24,6,4,0.536742507,76.43830085840841,11,4,0.593509881,76.43830085840841,21,4,0.570645594,76.43830085840841
sppnw25,1,7,0.397091733,85.17032260619423,1,7,0.407845181,85.17032260619423,4,7,0.471022349,85.17032260619423
sppnw26,15,2,0.417395844,65.46317161175217,27,3,0.426939223,68.41348203841319,39,2,0.408780111,65.46317161175217
sppnw27,2,1,0.421390696,,5,1,0.432439014,,8,1,0.468051278,
sppnw28,4,3,0.373645699,92.40311215502055,3,3,0.42971465,92.40311215502055,16,3,0.412711049,92.40311215502055
sppnw29,5,3,0.735097853,78.44866545903423,8,3,0.762103409,78.44866545903423,8,4,0.766225641,80.40722196662688
sppnw30,7,3,0.732618622,95.92442339709466,7,3,0.7130411,83.77556482894798,12,3,0.727086847,83.77556482894798
sppnw31,5,6,0.861668583,83.99935219342,5,6,0.817692285,83.99935219342,9,7,0.800910612,84.0740112297674
sppnw32,8,4,0.241030438,97.5923395386242,10,5,0.281583047,98.78770337489568,17,4,0.293511813,97.5923395386242
sppnw33,7,6,0.943772495,80.0782554481946,11,6,0.947923627,87.25360617247439,25,5,1.026768212,79.7406905971527
sppnw34,3,6,0.345853898,85.54563517376532,6,6,0.388345141,84.27646833393274,14,6,0.368335388,84.27646833393274
sppnw35,6,4,0.607641946,89.70312827091136,10,5,0.57736881,92.36751705758618,13,5,0.577490846,92.36751705758618
sppnw36,7,2,0.619438559,86.13599217705293,15,2,0.68964485,86.13599217705293,27,2,0.718852439,86.13599217705293
sppnw37,0,4,0.319640971,88.23943595169168,0,4,0.273019821,88.23943595169168,0,4,0.28155158,88.23943595169168
sppnw38,17,4,0.50568288,47.61048085490361,18,3,0.546404515,91.28712499947567,30,5,0.550052488,66.3362334961277
sppnw39,7,4,0.381975213,81.18966953756943,13,6,0.377603152,63.46330221443949,34,4,0.442123474,62.905238982525525
sppnw40,5,5,0.264773341,58.76545934701403,5,5,0.270105672,58.76545934701403,17,4,0.288066864,63.798812722361696
sppnw41,1,3,0.206109338,83.74833372317015,1,3,0.226269675,83.74833372317015,6,3,0.222564651,83.74833372317015
sppnw42,7,4,0.453806615,95.7031353831583,10,4,0.473252921,95.7031353831583,28,4,0.505439482,95.7031353831583
sppnw43,11,4,0.422881156,79.41835397540153,11,5,0.430330993,79.66775509196673,26,4,0.483736577,79.41835397540153
,perturbSolution!,,,,perturbSolution30!,,,,perturbSolution28a!,,,
