,perturbSolution!,,,,perturbSolution30!,,,,perturbSolution28a!,,,
Instances,#C,#U,CPUt (s),r (%),#C,#U,CPUt (s),r (%),#C,#U,CPUt (s),r (%)
sppaa03,11,5,245.223818124,76.19438806856729,12,5,240.618349383,76.19438806856729,16,5,252.243419414,76.19438806856729
sppaa05,11,5,229.652089469,69.0499675340125,8,5,232.768453224,69.0499675340125,14,5,236.783295157,69.0499675340125
sppnw01,2,10,56.874664595,81.52527316027351,2,10,57.255650935,81.52527316027351,7,10,61.291391848,81.52527316027351
sppnw03,5,6,24.591528689,80.96832403650349,9,5,25.912417673,80.78071719288855,13,5,26.110472353,80.78071719288855
sppnw04,22,3,54.324949696,55.339003508514736,22,5,54.57831921,62.3783815914415,33,3,54.625730774,55.142181457454555
sppnw05,5,6,139.995521762,31.071749327313007,8,6,151.476076023,26.870848750260752,5,6,154.785107123,33.79241079960838
sppnw06,5,3,2.816392318,78.22106743993807,7,3,2.874556368,78.22106743993807,14,3,2.953278442,78.22106743993807
sppnw07,3,8,1.421459277,78.07186884530978,3,6,1.364493468,78.33820043874044,10,7,1.484319789,77.91175580586527
sppnw08,0,5,0.230449992,82.66520611275935,0,5,0.242290921,82.66520611275935,0,5,0.239579921,82.66520611275935
sppnw09,0,6,0.710760779,87.32807851125418,0,6,0.739465862,87.32807851125418,0,6,0.713398232,87.32807851125418
sppnw10,0,7,0.298145627,99.22427263684244,0,7,0.301011906,99.22427263684244,0,7,0.326691497,99.22427263684244
sppnw11,1,7,1.964314522,97.18602312385907,2,8,2.023025196,97.20889431643404,6,7,2.098145199,97.18602312385907
sppnw12,1,7,0.27034854,86.2869828793362,1,7,0.270183418,86.2869828793362,5,7,0.282899601,86.2869828793362
sppnw13,7,5,4.445605526,73.622045502419,33,4,6.013082764,68.58526520778746,37,3,6.253297569,65.10766911367467
sppnw14,1,9,60.591766383,86.07847980865766,1,9,59.235460463,86.07847980865766,5,9,63.365322022,86.07847980865766
sppnw15,0,3,0.300754243,100.0,0,3,0.300142575,100.0,0,3,0.300021569,100.0
sppnw16,0,2,88.71362255,1.1281603950428456,0,2,88.703146492,1.1281603950428456,0,2,89.386520936,1.1281603950428456
sppnw17,5,6,96.963107394,68.89548539562882,4,6,96.844912685,68.89548539562882,10,6,101.362345236,68.89548539562882
sppnw18,15,1,12.851429063,,22,2,13.279280521,61.89207799210475,26,1,13.345052935,
sppnw19,4,3,0.880470955,87.83520690885301,8,3,0.972003388,87.83520690885301,13,3,0.95809065,87.83520690885301
sppnw20,4,2,0.3379412,76.29244375223065,4,2,0.350829277,76.29244375223065,10,2,0.316830423,76.29244375223065
sppnw21,1,4,0.275403774,92.95346244378536,1,4,0.312750723,92.95346244378536,6,4,0.342398241,92.95346244378536
sppnw22,12,4,0.296107159,93.2885068341055,11,4,0.302595693,93.2885068341055,28,4,0.329087262,93.2885068341055
sppnw23,9,3,0.345023983,92.36200797931052,18,3,0.369996637,92.3659151923775,18,3,0.355598405,92.36200797931052
sppnw24,6,5,0.519038996,78.3237118714158,12,4,0.53945846,76.43830085840841,21,4,0.566558988,76.43830085840841
sppnw25,1,7,0.417450832,85.17032260619423,1,7,0.441298454,85.17032260619423,4,7,0.426473179,85.17032260619423
sppnw26,15,2,0.372060924,65.46317161175217,23,4,0.369475332,72.64581029651981,39,2,0.398642835,65.46317161175217
sppnw27,2,1,0.399487146,,7,1,0.467830637,,8,1,0.45954948,
sppnw28,4,3,0.365221699,92.40311215502055,3,3,0.378061219,92.40311215502055,16,3,0.404008307,92.40311215502055
sppnw29,4,3,0.68969714,78.44866545903423,6,3,0.767186434,78.44866545903423,8,4,0.767098129,80.40722196662688
sppnw30,3,3,0.692253709,95.92442339709466,4,3,0.695955957,83.77556482894798,12,3,0.712641647,83.77556482894798
sppnw31,5,6,0.820313554,83.99935219342,7,6,0.88064092,83.99935219342,9,7,0.790215559,84.0740112297674
sppnw32,7,4,0.234036758,97.5923395386242,5,5,0.253341096,98.78770337489568,17,4,0.281827121,97.5923395386242
sppnw33,7,5,0.824313937,79.7406905971527,14,5,0.949357767,79.7406905971527,25,5,1.007389596,79.7406905971527
sppnw34,3,6,0.359633747,85.54563517376532,3,6,0.363488683,84.27646833393274,14,6,0.358357629,84.27646833393274
sppnw35,7,4,0.540668961,89.70312827091136,11,4,0.593084042,89.70312827091136,13,5,0.564373617,92.36751705758618
sppnw36,8,2,0.638808642,86.13599217705293,14,2,0.657199048,86.13599217705293,27,2,0.675771014,86.13599217705293
sppnw37,0,4,0.272668722,88.23943595169168,0,4,0.276933776,88.23943595169168,0,4,0.306102116,88.23943595169168
sppnw38,14,5,0.464646721,47.61048085490361,20,3,0.543879479,91.28712499947567,30,5,0.506136492,66.3362334961277
sppnw39,7,3,0.367033795,80.32715098296632,12,6,0.375540675,68.02952831720906,34,4,0.438247417,62.905238982525525
sppnw40,4,5,0.261591426,59.38425134103588,4,4,0.270932921,58.75980486020927,17,4,0.278025361,63.798812722361696
sppnw41,1,3,0.240729511,83.74833372317015,1,3,0.217382728,83.74833372317015,6,3,0.213075275,83.74833372317015
sppnw42,10,4,0.458709764,95.7031353831583,10,4,0.473781783,95.7031353831583,28,4,0.490505657,95.7031353831583
sppnw43,9,4,0.423911681,79.41835397540153,11,5,0.429387683,79.66775509196673,26,4,0.492130394,79.41835397540153
,perturbSolution!,,,,perturbSolution30!,,,,perturbSolution28a!,,,
