,perturbSolution!,,,,perturbSolution30!,,,,perturbSolution28a!,,,
Instances,#C,#U,CPUt (s),r (%),#C,#U,CPUt (s),r (%),#C,#U,CPUt (s),r (%)
sppaa03,14,5,243.537526194,76.19438806856729,13,6,252.96763378,76.38080917392853,16,5,249.744537803,76.19438806856729
sppaa05,12,5,236.620387686,69.0499675340125,7,5,231.234373174,69.0499675340125,14,5,239.472988276,69.0499675340125
sppnw01,2,10,57.636329965,81.52527316027351,2,11,58.136569106,82.4331769851849,7,10,62.903624063,81.52527316027351
sppnw03,6,5,24.749614804,80.78071719288855,9,5,26.220338817,80.78071719288855,13,5,26.694389753,80.78071719288855
sppnw04,21,3,54.745624449,56.493978865885495,23,4,54.181689104,61.44044467344474,33,3,54.487357463,55.142181457454555
sppnw05,5,6,139.59729148,26.870848750260752,5,6,142.005100804,26.870848750260752,5,6,156.193105125,33.79241079960838
sppnw06,6,3,2.91383149,78.22106743993807,8,3,3.002368251,78.22106743993807,14,3,3.045607006,78.22106743993807
sppnw07,3,8,1.424315752,78.07186884530978,5,7,1.491823078,78.52831816980553,10,7,1.525884616,77.91175580586527
sppnw08,0,5,0.233961853,82.66520611275935,0,5,0.246176112,82.66520611275935,0,5,0.2328082,82.66520611275935
sppnw09,0,6,0.721636246,87.32807851125418,0,6,0.72621255,87.32807851125418,0,6,0.740248458,87.32807851125418
sppnw10,0,7,0.308002348,99.22427263684244,0,7,0.307258222,99.22427263684244,0,7,0.293472358,99.22427263684244
sppnw11,2,7,2.128749456,97.18602312385907,1,8,1.993905906,97.20889431643404,6,7,2.143038359,97.18602312385907
sppnw12,1,8,0.264157108,89.76941405163082,2,7,0.276027888,86.2869828793362,5,7,0.275601883,86.2869828793362
sppnw13,7,6,4.432030836,75.08884227080873,29,3,5.920847415,65.9817107550443,37,3,6.41421138,65.10766911367467
sppnw14,1,9,60.643441644,86.07847980865766,1,9,60.484538057,86.07847980865766,5,9,64.34656986,86.07847980865766
sppnw15,0,3,0.292938306,100.0,0,3,0.326907472,100.0,0,3,0.324916253,100.0
sppnw16,0,2,88.787302837,1.1281603950428456,0,2,90.643437794,1.1281603950428456,0,2,89.802028399,1.1281603950428456
sppnw17,4,7,97.171451403,68.92189944126169,6,6,101.167538579,68.89548539562882,10,6,101.308445848,68.89548539562882
sppnw18,15,1,13.02364147,,24,2,13.158057838,69.14606026234253,26,1,13.40402989,
sppnw19,4,3,0.895097924,87.83520690885301,8,3,0.942301368,87.83520690885301,13,3,0.987280371,87.83520690885301
sppnw20,5,2,0.335091027,76.29244375223065,8,2,0.342375165,76.29244375223065,10,2,0.311929997,76.29244375223065
sppnw21,1,4,0.27431716,92.95346244378536,1,4,0.278799981,92.95346244378536,6,4,0.29457405,92.95346244378536
sppnw22,13,4,0.298531026,93.2885068341055,9,6,0.30991779,94.71904514140556,28,4,0.328289813,93.2885068341055
sppnw23,11,3,0.392829509,92.36200797931052,14,4,0.376483298,92.36200797931052,18,3,0.387649921,92.36200797931052
sppnw24,6,4,0.486833639,76.43830085840841,8,5,0.526864406,83.90372589886869,21,4,0.568575167,76.43830085840841
sppnw25,1,7,0.458180857,85.17032260619423,1,7,0.39899504,85.17032260619423,4,7,0.401134382,85.17032260619423
sppnw26,15,2,0.365676415,65.46317161175217,29,3,0.446571312,68.41348203841319,39,2,0.438556556,65.46317161175217
sppnw27,2,1,0.401911897,,3,1,0.40314339,,8,1,0.453675312,
sppnw28,4,3,0.375161603,92.40311215502055,3,3,0.398415403,92.40311215502055,16,3,0.435238737,92.40311215502055
sppnw29,5,3,0.736665857,78.44866545903423,6,3,0.75289064,78.44866545903423,8,4,0.741055657,80.40722196662688
sppnw30,4,3,0.683628004,83.77556482894798,8,3,0.711990168,83.77556482894798,12,3,0.713376513,83.77556482894798
sppnw31,5,6,0.776541396,83.99935219342,5,6,0.805860699,83.99935219342,9,7,0.82259245,84.0740112297674
sppnw32,7,4,0.236171228,97.5923395386242,10,5,0.289992149,98.78770337489568,17,4,0.259223573,97.5923395386242
sppnw33,7,6,0.916327341,80.0782554481946,10,5,0.932276627,79.7406905971527,25,5,1.012144841,79.7406905971527
sppnw34,3,6,0.329836379,85.54563517376532,4,6,0.36165352,85.54563517376532,14,6,0.365123933,84.27646833393274
sppnw35,6,4,0.561801728,89.70312827091136,10,5,0.577177549,93.39738823272921,13,5,0.562024426,92.36751705758618
sppnw36,8,2,0.635940457,86.13599217705293,11,2,0.642142269,86.13599217705293,27,2,0.685127043,86.13599217705293
sppnw37,0,4,0.299752175,88.23943595169168,0,4,0.296861061,88.23943595169168,0,4,0.299446246,88.23943595169168
sppnw38,13,4,0.460178154,47.61048085490361,15,4,0.511682091,92.84547003882044,30,5,0.541376002,66.3362334961277
sppnw39,7,3,0.361485758,80.32715098296632,13,6,0.367240402,66.86121986213557,34,4,0.428110366,62.905238982525525
sppnw40,4,5,0.264680958,59.38425134103588,8,5,0.289375482,58.76545934701403,17,4,0.284891802,63.798812722361696
sppnw41,1,3,0.196253153,83.74833372317015,1,3,0.211108455,83.74833372317015,6,3,0.222437761,83.74833372317015
sppnw42,9,4,0.462771966,95.7031353831583,12,4,0.454075796,95.7031353831583,28,4,0.482017224,95.7031353831583
sppnw43,7,4,0.418919784,79.41835397540153,12,4,0.470641423,80.0067556168874,26,4,0.499149466,79.41835397540153
,perturbSolution!,,,,perturbSolution30!,,,,perturbSolution28a!,,,
