,perturbSolution!,,,,perturbSolution30!,,,,perturbSolution28a!,,,
Instances,#C,#U,CPUt (s),r (%),#C,#U,CPUt (s),r (%),#C,#U,CPUt (s),r (%)
sppaa03,11,5,246.286518136,76.19438806856729,12,6,244.860162053,76.26342683289153,16,5,250.648838522,76.19438806856729
sppaa05,12,6,236.238330449,69.51834112625662,8,5,237.012504678,69.0499675340125,14,5,244.885920843,69.0499675340125
sppnw01,2,10,62.269916424,81.52527316027351,2,10,60.35345542,81.52527316027351,7,10,69.474403243,81.52527316027351
sppnw03,5,5,26.243284863,80.78071719288855,6,5,26.319588598,80.78071719288855,13,5,28.371796062,80.78071719288855
sppnw04,21,3,55.151035032,57.32357471952659,20,4,56.234534948,59.500740327307255,33,3,56.554387934,55.142181457454555
sppnw05,5,6,145.285512138,26.870848750260752,9,4,153.722787587,30.454391605593166,5,6,161.095030565,33.79241079960838
sppnw06,7,3,2.936536419,78.22106743993807,4,3,2.892061181,78.22106743993807,14,3,3.034557301,78.22106743993807
sppnw07,3,8,1.642002968,78.07186884530978,4,9,1.68779561,78.88235685393443,10,7,1.559652727,77.91175580586527
sppnw08,0,5,0.241322151,82.66520611275935,0,5,0.241824988,82.66520611275935,0,5,0.243473411,82.66520611275935
sppnw09,0,6,0.748298923,87.32807851125418,0,6,0.76720009,87.32807851125418,0,6,0.906784571,87.32807851125418
sppnw10,0,7,0.325326872,99.22427263684244,0,7,0.330034811,99.22427263684244,0,7,0.306879807,99.22427263684244
sppnw11,1,7,2.029408152,97.18602312385907,1,7,2.032897415,97.18602312385907,6,7,2.20911969,97.18602312385907
sppnw12,1,7,0.307899501,86.2869828793362,2,7,0.2919606,86.2869828793362,5,7,0.302100384,86.2869828793362
sppnw13,7,6,4.530428037,75.02370154740507,25,4,5.780268048,76.95589943061795,37,3,6.473890143,65.10766911367467
sppnw14,1,9,63.450501161,86.07847980865766,1,9,63.699776288,86.07847980865766,5,9,66.644409199,86.07847980865766
sppnw15,0,3,0.30412215,100.0,0,3,0.303687974,100.0,0,3,0.2996546,100.0
sppnw16,0,2,92.526995993,1.1281603950428456,0,2,92.445563233,1.1281603950428456,0,2,92.356080548,1.1281603950428456
sppnw17,4,6,101.100355445,68.89548539562882,5,6,103.007069928,68.89548539562882,10,6,107.293931924,68.89548539562882
sppnw18,14,1,12.993419177,,19,3,12.973221276,69.15255518594749,26,1,13.86132764,
sppnw19,7,3,0.957792847,87.83520690885301,5,4,0.919957455,88.58037860145565,13,3,0.963778201,87.83520690885301
sppnw20,7,2,0.311101994,76.29244375223065,7,2,0.348010574,76.29244375223065,10,2,0.346247303,76.29244375223065
sppnw21,1,4,0.303196771,92.95346244378536,1,4,0.28341448,92.95346244378536,6,4,0.293347448,92.95346244378536
sppnw22,12,4,0.311157838,93.2885068341055,15,4,0.33469851,93.2885068341055,28,4,0.363848677,93.2885068341055
sppnw23,11,3,0.420023339,92.36200797931052,15,4,0.358481062,92.36200797931052,18,3,0.390413646,92.36200797931052
sppnw24,6,4,0.521126358,76.43830085840841,10,5,0.583621437,77.88368588906143,21,4,0.590657218,76.43830085840841
sppnw25,1,7,0.401434073,85.17032260619423,1,7,0.421890253,85.17032260619423,4,7,0.436334244,85.17032260619423
sppnw26,18,2,0.400891561,65.46317161175217,22,4,0.371594343,72.64581029651981,39,2,0.430675547,65.46317161175217
sppnw27,2,1,0.406600574,,6,1,0.437233137,,8,1,0.466828778,
sppnw28,5,3,0.413548099,92.40311215502055,5,3,0.402692295,92.40311215502055,16,3,0.450903219,92.40311215502055
sppnw29,3,3,0.724837301,78.44866545903423,5,5,0.729834661,78.5705419870954,8,4,0.766038117,80.40722196662688
sppnw30,8,3,0.702951913,95.92442339709466,6,3,0.717945021,83.77556482894798,12,3,0.752887475,83.77556482894798
sppnw31,5,6,0.802791601,83.99935219342,5,6,0.782367128,83.99935219342,9,7,0.830298122,84.0740112297674
sppnw32,5,4,0.242212854,97.5923395386242,9,5,0.257363575,98.78770337489568,17,4,0.267417591,97.5923395386242
sppnw33,8,6,0.944045581,80.0782554481946,12,5,0.998164614,79.7406905971527,25,5,1.015629534,79.7406905971527
sppnw34,3,6,0.33684586,85.54563517376532,4,6,0.35737695,84.27646833393274,14,6,0.389807827,84.27646833393274
sppnw35,5,4,0.596505978,89.70312827091136,12,6,0.588582388,94.81501223478222,13,5,0.658264317,92.36751705758618
sppnw36,8,2,0.58997124,86.13599217705293,12,2,0.671008057,86.13599217705293,27,2,1.008596814,86.13599217705293
sppnw37,0,4,0.30354763,88.23943595169168,0,4,0.29642656,88.23943595169168,0,4,0.492596597,88.23943595169168
sppnw38,11,4,0.481189403,91.28712499947567,13,4,0.49492568,92.84547003882044,30,5,0.740888856,66.3362334961277
sppnw39,7,4,0.359887816,80.3286221960918,11,5,0.398650734,66.86121986213557,34,4,0.680007049,62.905238982525525
sppnw40,4,5,0.26956827,59.38425134103588,7,5,0.275695502,58.76545934701403,17,4,0.523596407,63.798812722361696
sppnw41,1,3,0.2193913,83.74833372317015,1,3,0.217716155,83.74833372317015,6,3,0.487315725,83.74833372317015
sppnw42,7,4,0.439961691,95.7031353831583,9,3,0.444014052,99.62188045569444,28,4,1.15927931,95.7031353831583
sppnw43,13,4,0.471896763,79.41835397540153,11,4,0.45556422,80.0067556168874,26,4,1.170116598,79.41835397540153
,perturbSolution!,,,,perturbSolution30!,,,,perturbSolution28a!,,,
