,perturbSolution!,,,,perturbSolution30!,,,,perturbSolution28a!,,,
Instances,#C,#U,CPUt (s),r (%),#C,#U,CPUt (s),r (%),#C,#U,CPUt (s),r (%)
sppaa03,13,5,257.810931187,76.19438806856729,16,5,258.371557319,76.19438806856729,16,5,254.083186684,76.19438806856729
sppaa05,12,5,237.913027407,69.0499675340125,10,5,233.602171652,69.0499675340125,14,5,241.76846914,69.0499675340125
sppnw01,2,11,58.964671144,82.4331769851849,3,10,61.083431098,81.52527316027351,7,10,63.711051226,81.52527316027351
sppnw03,5,5,25.836064116,80.78071719288855,10,5,27.058935678,80.78071719288855,13,5,27.124029352,80.78071719288855
sppnw04,22,2,55.741180637,55.142181457454555,18,3,56.172329319,57.05694122934163,33,3,57.053547526,55.142181457454555
sppnw05,5,6,145.840823769,31.071749327313007,8,6,156.426028988,34.63818400285583,5,6,160.352531484,33.79241079960838
sppnw06,5,3,2.885814769,78.22106743993807,10,3,3.059484276,78.22106743993807,14,3,3.008733247,78.22106743993807
sppnw07,3,8,1.455509297,78.07186884530978,5,8,1.45747234,78.67222673012564,10,7,1.527824888,77.91175580586527
sppnw08,0,5,0.237944665,82.66520611275935,0,5,0.27519628,82.66520611275935,0,5,0.24055423,82.66520611275935
sppnw09,0,6,0.73745447,87.32807851125418,0,6,0.703597801,87.32807851125418,0,6,0.738873163,87.32807851125418
sppnw10,0,7,0.311469293,99.22427263684244,0,7,0.312915526,99.22427263684244,0,7,0.30644666,99.22427263684244
sppnw11,1,7,2.043683234,97.18602312385907,4,7,2.212665784,97.18602312385907,6,7,2.147971273,97.18602312385907
sppnw12,1,8,0.272445597,89.76941405163082,2,7,0.283789836,86.2869828793362,5,7,0.281823704,86.2869828793362
sppnw13,7,6,4.505130241,74.49138574744431,33,3,6.488546569,67.39197055863457,37,3,6.564690375,65.10766911367467
sppnw14,1,9,63.718161588,86.07847980865766,3,9,66.603838298,86.07847980865766,5,9,65.74072769,86.07847980865766
sppnw15,0,3,0.303048132,100.0,0,3,0.298660202,100.0,0,3,0.348863232,100.0
sppnw16,0,2,93.011617455,1.1281603950428456,0,2,92.043599607,1.1281603950428456,0,2,91.500749153,1.1281603950428456
sppnw17,5,6,103.187000264,68.89548539562882,5,6,102.298524983,68.89548539562882,10,6,106.09691635,68.89548539562882
sppnw18,17,1,13.418094329,,22,3,13.172900595,69.57534262006673,26,1,13.478750045,
sppnw19,5,3,0.941351373,87.83520690885301,7,3,0.966729469,87.83520690885301,13,3,0.977453504,87.83520690885301
sppnw20,5,2,0.31161855,76.29244375223065,6,3,0.327458172,76.38199225190469,10,2,0.327259708,76.29244375223065
sppnw21,1,4,0.288016769,92.95346244378536,1,4,0.290853409,92.95346244378536,6,4,0.327130207,92.95346244378536
sppnw22,12,4,0.328291128,93.2885068341055,9,4,0.325137785,93.2885068341055,28,4,0.328101703,93.2885068341055
sppnw23,12,3,0.387687872,92.36200797931052,11,3,0.379882824,92.36200797931052,18,3,0.397553213,92.36200797931052
sppnw24,6,5,0.557097927,83.05624115685166,9,5,0.53361936,86.8993349582074,21,4,0.537491755,76.43830085840841
sppnw25,1,7,0.424712518,85.17032260619423,1,7,0.457307587,85.17032260619423,4,7,0.453225701,85.17032260619423
sppnw26,17,2,0.420189717,65.46317161175217,24,4,0.405275495,72.64581029651981,39,2,0.602135398,65.46317161175217
sppnw27,2,1,0.388913991,,5,1,0.418272059,,8,1,0.431292231,
sppnw28,4,3,0.398030809,92.40311215502055,4,3,0.404602771,92.40311215502055,16,3,0.455685782,92.40311215502055
sppnw29,4,3,0.713901746,78.44866545903423,5,3,0.739971079,84.2064438232351,8,4,0.756584191,80.40722196662688
sppnw30,8,3,0.748521232,83.77556482894798,6,3,0.733011815,83.77556482894798,12,3,0.726894437,83.77556482894798
sppnw31,6,6,0.829677,83.99935219342,5,6,0.793081626,83.99935219342,9,7,0.803757215,84.0740112297674
sppnw32,6,4,0.272672286,97.5923395386242,10,5,0.262211132,98.78770337489568,17,4,0.264275214,97.5923395386242
sppnw33,7,6,0.907782966,80.0782554481946,9,7,0.922781864,87.71666068494635,25,5,1.023074293,79.7406905971527
sppnw34,3,6,0.360043034,88.67282982977645,4,6,0.379989336,88.67282982977645,14,6,0.387795979,84.27646833393274
sppnw35,6,4,0.559198782,89.70312827091136,8,5,0.57371646,92.36751705758618,13,5,0.561168122,92.36751705758618
sppnw36,7,2,0.651551412,86.13599217705293,14,2,0.706579477,86.13599217705293,27,2,0.688294634,86.13599217705293
sppnw37,0,4,0.286271653,88.23943595169168,0,4,0.28765546,88.23943595169168,0,4,0.31303596,88.23943595169168
sppnw38,12,4,0.506038608,47.61048085490361,19,3,0.531129107,91.28712499947567,30,5,0.54531727,66.3362334961277
sppnw39,7,5,0.37005511,81.19114075069491,17,5,0.431752237,66.86121986213557,34,4,0.417256188,62.905238982525525
sppnw40,5,5,0.262638512,59.38425134103588,10,4,0.316371828,58.75980486020927,17,4,0.296680102,63.798812722361696
sppnw41,1,3,0.22273151,83.74833372317015,1,3,0.22555773,83.74833372317015,6,3,0.218786117,83.74833372317015
sppnw42,6,4,0.43822722,95.7031353831583,13,4,0.463723438,95.7031353831583,28,4,0.485061219,95.7031353831583
sppnw43,13,4,0.456832011,79.41835397540153,15,4,0.496709857,79.41835397540153,26,4,0.486949931,79.41835397540153
,perturbSolution!,,,,perturbSolution30!,,,,perturbSolution28a!,,,
