,perturbSolution!,,,,perturbSolution30!,,,,perturbSolution28a!,,,
Instances,#C,#U,CPUt (s),r (%),#C,#U,CPUt (s),r (%),#C,#U,CPUt (s),r (%)
sppaa03,11,5,240.081703622,76.19438806856729,11,6,242.948640755,76.26342683289153,16,5,245.57645345,76.19438806856729
sppaa05,12,5,232.784781352,69.0499675340125,8,6,228.733798111,69.21997743680774,14,5,235.567719054,69.0499675340125
sppnw01,2,10,56.892407585,81.52527316027351,6,10,61.171137867,81.52527316027351,7,10,61.509346816,81.52527316027351
sppnw03,5,5,24.579120327,80.78071719288855,8,5,25.809983882,80.78071719288855,13,5,25.958993419,80.78071719288855
sppnw04,20,3,53.291870637,55.339003508514736,16,3,51.527379659,63.68743303179978,33,3,53.850988683,55.142181457454555
sppnw05,5,6,140.567542745,26.870848750260752,10,6,153.304596673,34.63818400285583,5,6,155.127353897,33.79241079960838
sppnw06,5,3,2.86636146,78.22106743993807,7,3,2.889305614,78.22106743993807,14,3,2.967365044,78.22106743993807
sppnw07,3,8,1.392688683,78.07186884530978,8,7,1.499583135,77.91175580586527,10,7,1.491000858,77.91175580586527
sppnw08,0,5,0.236071581,82.66520611275935,0,5,0.239184602,82.66520611275935,0,5,0.23358895,82.66520611275935
sppnw09,0,6,0.715365533,87.32807851125418,0,6,0.719412065,87.32807851125418,0,6,0.680892097,87.32807851125418
sppnw10,0,7,0.30270985,99.22427263684244,0,7,0.304620302,99.22427263684244,0,7,0.339367712,99.22427263684244
sppnw11,1,7,1.975914411,97.18602312385907,3,7,2.086020409,97.18602312385907,6,7,2.052205004,97.18602312385907
sppnw12,1,8,0.30375933,87.86094048150991,2,7,0.271920792,86.2869828793362,5,7,0.281746448,86.2869828793362
sppnw13,7,6,4.644719259,74.30820188025713,33,3,6.011927915,65.9817107550443,37,3,6.283528797,65.10766911367467
sppnw14,1,9,60.888392146,86.07847980865766,3,9,62.420590661,86.07847980865766,5,9,63.848115299,86.07847980865766
sppnw15,0,3,0.311569873,100.0,0,3,0.287260323,100.0,0,3,0.320187349,100.0
sppnw16,0,2,88.921235512,1.1281603950428456,0,2,88.400102134,1.1281603950428456,0,2,89.533320526,1.1281603950428456
sppnw17,4,6,97.29287255,68.89548539562882,4,6,96.17380333,68.89548539562882,10,6,99.481366094,68.89548539562882
sppnw18,17,1,12.874868614,,21,2,12.881090955,64.43180325152571,26,1,13.11455502,
sppnw19,7,3,0.899208058,87.83520690885301,5,3,0.900184231,87.83520690885301,13,3,0.943358088,87.83520690885301
sppnw20,5,2,0.318656709,76.29244375223065,8,2,0.331864835,76.29244375223065,10,2,0.320215346,76.29244375223065
sppnw21,1,4,0.274405496,92.95346244378536,1,4,0.276146178,92.95346244378536,6,4,0.300983337,92.95346244378536
sppnw22,12,4,0.320266325,93.2885068341055,8,5,0.295823358,94.62289541652517,28,4,0.337167095,93.2885068341055
sppnw23,9,3,0.367466644,92.36200797931052,13,3,0.373353481,92.36200797931052,18,3,0.353375695,92.36200797931052
sppnw24,6,5,0.494695321,77.96123747142899,6,5,0.529577169,86.8993349582074,21,4,0.579766259,76.43830085840841
sppnw25,1,7,0.39968563,85.17032260619423,1,7,0.404591816,85.17032260619423,4,7,0.409576165,85.17032260619423
sppnw26,15,2,0.378355654,65.46317161175217,23,3,0.394346984,85.92050810901793,39,2,0.408434869,65.46317161175217
sppnw27,2,1,0.389636584,,8,1,0.437763478,,8,1,0.431886206,
sppnw28,4,3,0.382759049,92.40311215502055,3,3,0.397740084,92.40311215502055,16,3,0.420041222,92.40311215502055
sppnw29,5,3,0.704031112,78.44866545903423,7,3,0.73425585,78.44866545903423,8,4,0.710695503,80.40722196662688
sppnw30,8,3,0.701635263,83.77556482894798,8,3,0.69420578,83.77556482894798,12,3,0.696737333,83.77556482894798
sppnw31,5,6,0.763987282,83.99935219342,7,6,0.807435855,83.99935219342,9,7,0.767359666,84.0740112297674
sppnw32,6,4,0.239891534,97.5923395386242,6,5,0.239866981,98.78770337489568,17,4,0.273536677,97.5923395386242
sppnw33,10,5,0.893723247,79.7406905971527,12,6,0.940662662,82.5744151432765,25,5,0.975533226,79.7406905971527
sppnw34,3,6,0.335335261,85.54563517376532,4,6,0.349249926,84.27646833393274,14,6,0.375545879,84.27646833393274
sppnw35,6,4,0.578624613,89.70312827091136,15,5,0.587498037,93.39738823272921,13,5,0.565489873,92.36751705758618
sppnw36,8,2,0.600486309,86.13599217705293,14,2,0.648728822,86.13599217705293,27,2,0.663262133,86.13599217705293
sppnw37,0,4,0.289567609,88.23943595169168,0,4,0.264930291,88.23943595169168,0,4,0.282367035,88.23943595169168
sppnw38,12,4,0.492173099,47.61048085490361,17,4,0.499390807,92.84547003882044,30,5,0.513026087,66.3362334961277
sppnw39,9,3,0.3590475,80.32715098296632,15,6,0.40165079,66.96660384335947,34,4,0.41034986,62.905238982525525
sppnw40,5,5,0.259252959,59.38425134103588,7,5,0.284272242,58.76545934701403,17,4,0.29110695,63.798812722361696
sppnw41,1,3,0.217058123,83.74833372317015,1,3,0.216195483,83.74833372317015,6,3,0.220664727,83.74833372317015
sppnw42,7,4,0.428893157,95.7031353831583,17,4,0.440442954,95.7031353831583,28,4,0.469085885,95.7031353831583
sppnw43,8,4,0.436593241,79.41835397540153,9,5,0.411179534,80.2561567334526,26,4,0.473633522,79.41835397540153
,perturbSolution!,,,,perturbSolution30!,,,,perturbSolution28a!,,,
