,perturbSolution!,,,,perturbSolution30!,,,,perturbSolution28a!,,,
Instances,#C,#U,CPUt (s),r (%),#C,#U,CPUt (s),r (%),#C,#U,CPUt (s),r (%)
sppaa03,11,5,254.962693865,76.19438806856729,14,5,254.922658902,76.19438806856729,16,5,250.145460493,76.19438806856729
sppaa05,12,5,242.53263279,69.0499675340125,8,7,230.155982112,73.10881821168141,14,5,238.177516693,69.0499675340125
sppnw01,2,10,60.722814331,81.52527316027351,2,11,60.468996528,82.4331769851849,7,10,62.734771654,81.52527316027351
sppnw03,5,6,26.684728669,80.80645168543595,8,5,27.385487778,80.78071719288855,13,5,26.708985491,80.78071719288855
sppnw04,20,2,56.979533244,55.142181457454555,20,3,58.700998279,68.21596622706556,33,3,56.853542798,55.142181457454555
sppnw05,5,6,147.945737196,26.870848750260752,8,7,156.109442748,26.889760177029494,5,6,164.986106652,33.79241079960838
sppnw06,9,3,3.292358312,78.22106743993807,10,3,3.230770512,78.22106743993807,14,3,3.042043579,78.22106743993807
sppnw07,3,8,1.528163095,78.07186884530978,4,7,1.712065731,77.91175580586527,10,7,1.739787734,77.91175580586527
sppnw08,0,5,0.237559651,82.66520611275935,0,5,0.237394779,82.66520611275935,0,5,0.272863181,82.66520611275935
sppnw09,0,6,0.743199011,87.32807851125418,0,6,0.73192591,87.32807851125418,0,6,0.730546923,87.32807851125418
sppnw10,0,7,0.320557428,99.22427263684244,0,7,0.317637679,99.22427263684244,0,7,0.312977519,99.22427263684244
sppnw11,1,7,2.035848337,97.18602312385907,1,7,2.008382452,97.18602312385907,6,7,2.197364161,97.18602312385907
sppnw12,1,7,0.286829667,86.2869828793362,1,7,0.279388122,86.2869828793362,5,7,0.294240366,86.2869828793362
sppnw13,8,5,4.650705247,76.46920016833987,25,5,5.704604232,74.79984295621469,37,3,6.516229533,65.10766911367467
sppnw14,1,9,62.851023628,86.07847980865766,1,9,61.340966241,86.07847980865766,5,9,65.933245928,86.07847980865766
sppnw15,0,3,0.301039006,100.0,0,3,0.299921095,100.0,0,3,0.298468632,100.0
sppnw16,0,2,91.795574093,1.1281603950428456,0,2,90.853700144,1.1281603950428456,0,2,91.991030258,1.1281603950428456
sppnw17,4,6,100.650772533,68.89548539562882,5,6,100.410408946,68.89548539562882,10,6,103.180634849,68.89548539562882
sppnw18,19,1,13.169568188,,21,3,13.333467705,69.15255518594749,26,1,13.361154496,
sppnw19,4,3,0.941183561,87.83520690885301,6,3,0.966085284,87.83520690885301,13,3,0.981397301,87.83520690885301
sppnw20,4,2,0.320426331,76.29244375223065,7,2,0.350769276,76.29244375223065,10,2,0.347723705,76.29244375223065
sppnw21,1,4,0.287891416,92.95346244378536,1,4,0.280077032,92.95346244378536,6,4,0.297867309,92.95346244378536
sppnw22,12,4,0.32652807,93.2885068341055,9,4,0.326375841,93.2885068341055,28,4,0.333007647,93.2885068341055
sppnw23,11,3,0.384888313,92.36200797931052,9,3,0.356016463,92.36200797931052,18,3,0.387947204,92.36200797931052
sppnw24,6,4,0.507888852,76.43830085840841,8,5,0.54459727,77.88368588906143,21,4,0.571218817,76.43830085840841
sppnw25,1,7,0.412577373,85.17032260619423,1,7,0.427042008,85.17032260619423,4,7,0.409014696,85.17032260619423
sppnw26,17,2,0.398145281,65.46317161175217,26,3,0.406778761,85.92050810901793,39,2,0.434451943,65.46317161175217
sppnw27,2,1,0.411995709,,4,1,0.41249303,,8,1,0.458971237,
sppnw28,4,3,0.413404707,92.40311215502055,5,3,0.410404071,92.40311215502055,16,3,0.417520177,92.40311215502055
sppnw29,4,3,0.730394608,78.44866545903423,8,3,0.792440893,78.44866545903423,8,4,0.759671674,80.40722196662688
sppnw30,3,3,0.678432423,95.92442339709466,6,3,0.715309058,83.77556482894798,12,3,0.749010604,83.77556482894798
sppnw31,5,6,0.808805024,83.99935219342,8,6,0.816408778,83.99935219342,9,7,0.790855977,84.0740112297674
sppnw32,7,4,0.24768922,97.5923395386242,13,4,0.252836559,97.5923395386242,17,4,0.287702595,97.5923395386242
sppnw33,7,5,0.885399787,79.7406905971527,12,5,0.923761988,79.7406905971527,25,5,1.005530291,79.7406905971527
sppnw34,3,6,0.344335507,85.54563517376532,5,6,0.368774061,84.27646833393274,14,6,0.369747611,84.27646833393274
sppnw35,6,4,0.571178825,89.70312827091136,13,4,0.572766878,89.70312827091136,13,5,0.563496033,92.36751705758618
sppnw36,9,2,0.62120154,86.13599217705293,13,2,0.645184013,86.13599217705293,27,2,0.690052807,86.13599217705293
sppnw37,0,4,0.284435614,88.23943595169168,0,4,0.291055494,88.23943595169168,0,4,0.301486381,88.23943595169168
sppnw38,13,4,0.489526305,47.61048085490361,16,4,0.505341479,94.1545035594253,30,5,0.548374522,66.3362334961277
sppnw39,9,3,0.393189735,80.32715098296632,15,5,0.4050816,66.86121986213557,34,4,0.40608412,62.905238982525525
sppnw40,4,4,0.300747978,58.75980486020927,7,4,0.29714267,74.04373137619777,17,4,0.287673174,63.798812722361696
sppnw41,1,3,0.203391823,83.74833372317015,1,3,0.242973598,83.74833372317015,6,3,0.28692436,83.74833372317015
sppnw42,7,4,0.439612635,95.7031353831583,10,4,0.413581831,95.7031353831583,28,4,0.45788023,95.7031353831583
sppnw43,12,4,0.455848864,79.41835397540153,20,4,0.491168737,79.41835397540153,26,4,0.495971049,79.41835397540153
,perturbSolution!,,,,perturbSolution30!,,,,perturbSolution28a!,,,
