,perturbSolution!,,,,perturbSolution30!,,,,perturbSolution28a!,,,
Instances,#C,#U,CPUt (s),r (%),#C,#U,CPUt (s),r (%),#C,#U,CPUt (s),r (%)
sppaa03,12,5,240.465293059,76.19438806856729,10,7,243.718944272,76.44984793825276,16,5,245.010939102,76.19438806856729
sppaa05,12,5,233.239447189,69.0499675340125,10,5,225.171417149,69.0499675340125,14,5,235.669551795,69.0499675340125
sppnw01,2,10,56.933425845,81.52527316027351,2,11,57.054349406,82.4331769851849,7,10,61.49428997,81.52527316027351
sppnw03,5,5,24.324941275,80.78071719288855,8,5,24.676989833,80.78071719288855,13,5,25.843310158,80.78071719288855
sppnw04,18,3,52.635668197,63.39364357896584,22,3,52.892367885,63.39364357896584,33,3,53.998926755,55.142181457454555
sppnw05,5,6,141.543952707,33.79241079960838,7,6,149.438637434,27.430217977993347,5,6,155.83747749,33.79241079960838
sppnw06,4,3,2.795463952,78.22106743993807,6,3,2.828136174,78.22106743993807,14,3,2.979587133,78.22106743993807
sppnw07,3,8,1.62990302,78.07186884530978,3,8,1.596289705,78.77242766879372,10,7,1.675537786,77.91175580586527
sppnw08,0,5,0.237537396,82.66520611275935,0,5,0.238476985,82.66520611275935,0,5,0.244212297,82.66520611275935
sppnw09,0,6,0.703119177,87.32807851125418,0,6,0.741513463,87.32807851125418,0,6,0.702018599,87.32807851125418
sppnw10,0,7,0.313387327,99.22427263684244,0,7,0.311679654,99.22427263684244,0,7,0.327081894,99.22427263684244
sppnw11,1,7,1.965399538,97.18602312385907,4,8,2.112795312,97.20889431643404,6,7,2.092647695,97.18602312385907
sppnw12,1,7,0.273047617,86.2869828793362,1,7,0.269557475,86.2869828793362,5,7,0.282001214,86.2869828793362
sppnw13,7,6,4.475976504,73.23688455708903,29,4,5.955021429,70.38596099588479,37,3,6.188952843,65.10766911367467
sppnw14,1,9,60.752317515,86.07847980865766,3,9,63.550470404,86.07847980865766,5,9,63.402747392,86.07847980865766
sppnw15,0,3,0.297107317,100.0,0,3,0.297764889,100.0,0,3,0.291272735,100.0
sppnw16,0,2,89.237864993,1.1281603950428456,0,2,88.835364184,1.1281603950428456,0,2,89.30972013,1.1281603950428456
sppnw17,5,6,97.447958186,68.89548539562882,6,6,99.682426295,68.89548539562882,10,6,100.051429514,68.89548539562882
sppnw18,16,1,12.951493825,,19,3,13.119558392,69.57534262006673,26,1,13.133808402,
sppnw19,4,3,0.896402422,87.83520690885301,6,3,0.927491005,87.83520690885301,13,3,0.954317419,87.83520690885301
sppnw20,3,2,0.319421613,76.29244375223065,6,2,0.346891451,76.29244375223065,10,2,0.313518138,76.29244375223065
sppnw21,1,4,0.278947052,92.95346244378536,1,4,0.281378148,92.95346244378536,6,4,0.32854884,92.95346244378536
sppnw22,12,4,0.311189971,93.2885068341055,14,4,0.301584274,93.2885068341055,28,4,0.320420741,93.2885068341055
sppnw23,11,3,0.355385102,92.36200797931052,10,3,0.367825107,92.36200797931052,18,3,0.367541894,92.36200797931052
sppnw24,6,4,0.507556958,76.43830085840841,7,6,0.511945453,84.20766308844698,21,4,0.543295709,76.43830085840841
sppnw25,1,7,0.41112834,85.17032260619423,2,7,0.409312085,85.17032260619423,4,7,0.407850574,85.17032260619423
sppnw26,16,2,0.388383072,65.46317161175217,24,4,0.382439097,72.64581029651981,39,2,0.409766454,65.46317161175217
sppnw27,2,1,0.365268756,,5,1,0.427258423,,8,1,0.439942556,
sppnw28,4,3,0.399189836,92.40311215502055,6,3,0.399422184,92.40311215502055,16,3,0.418238444,92.40311215502055
sppnw29,4,3,0.666914515,78.44866545903423,9,3,0.761338906,78.44866545903423,8,4,0.721395204,80.40722196662688
sppnw30,7,3,0.719738041,83.77556482894798,8,3,0.71132287,83.77556482894798,12,3,0.701669135,83.77556482894798
sppnw31,5,6,0.785912111,83.99935219342,6,6,0.799044727,83.99935219342,9,7,0.773355876,84.0740112297674
sppnw32,6,4,0.228516667,97.5923395386242,13,4,0.245387448,97.5923395386242,17,4,0.309012982,97.5923395386242
sppnw33,7,5,0.836209569,79.7406905971527,8,5,0.870432829,79.7406905971527,25,5,0.976663437,79.7406905971527
sppnw34,3,6,0.355969235,85.54563517376532,5,7,0.340063892,85.60800604284489,14,6,0.37126845,84.27646833393274
sppnw35,6,4,0.529891673,89.70312827091136,11,4,0.540307739,89.70312827091136,13,5,0.544926027,92.36751705758618
sppnw36,9,2,0.605516352,86.13599217705293,13,2,0.665532033,86.13599217705293,27,2,0.657642496,86.13599217705293
sppnw37,0,4,0.280411967,88.23943595169168,0,4,0.2637243,88.23943595169168,0,4,0.282498216,88.23943595169168
sppnw38,17,4,0.517233187,47.61048085490361,17,3,0.511330277,91.28712499947567,30,5,0.525939174,66.3362334961277
sppnw39,9,4,0.351904236,80.3286221960918,18,5,0.398474566,66.86121986213557,34,4,0.423761962,62.905238982525525
sppnw40,5,6,0.281939138,59.38990582784063,9,3,0.273547017,74.0394785649953,17,4,0.277583342,63.798812722361696
sppnw41,1,3,0.226663569,83.74833372317015,1,3,0.209396815,83.74833372317015,6,3,0.211466881,83.74833372317015
sppnw42,10,4,0.444828595,95.7031353831583,16,4,0.48131745,95.7031353831583,28,4,0.474056088,95.7031353831583
sppnw43,13,4,0.43456092,79.41835397540153,17,4,0.449625854,80.0067556168874,26,4,0.497115735,79.41835397540153
,perturbSolution!,,,,perturbSolution30!,,,,perturbSolution28a!,,,
