,perturbSolution!,,,,perturbSolution30!,,,,perturbSolution28a!,,,
Instances,#C,#U,CPUt (s),r (%),#C,#U,CPUt (s),r (%),#C,#U,CPUt (s),r (%)
sppaa03,11,5,239.689704881,76.19438806856729,16,5,254.18074176,76.19438806856729,16,5,251.523439153,76.19438806856729
sppaa05,13,5,238.060868274,69.0499675340125,11,5,237.722476995,69.0499675340125,14,5,239.755604513,69.0499675340125
sppnw01,2,10,58.715314977,81.52527316027351,3,10,61.56861758,81.52527316027351,7,10,62.732945148,81.52527316027351
sppnw03,5,5,25.492762231,80.78071719288855,8,5,26.661434524,80.78071719288855,13,5,26.856187493,80.78071719288855
sppnw04,20,2,55.895944087,55.142181457454555,22,3,55.609929733,55.31992109302425,33,3,56.252947207,55.142181457454555
sppnw05,5,6,145.892195159,26.870848750260752,7,6,158.015692379,35.13106983148852,5,6,159.806355893,33.79241079960838
sppnw06,6,3,2.91157776,78.22106743993807,9,3,3.032207063,78.22106743993807,14,3,3.020278452,78.22106743993807
sppnw07,3,8,1.473615742,78.07186884530978,6,7,1.488309811,77.91175580586527,10,7,1.519230852,77.91175580586527
sppnw08,0,5,0.277029427,82.66520611275935,0,5,0.23676182,82.66520611275935,0,5,0.241246389,82.66520611275935
sppnw09,0,6,0.751294124,87.32807851125418,0,6,0.729324156,87.32807851125418,0,6,0.732573705,87.32807851125418
sppnw10,0,7,0.30843695,99.22427263684244,0,7,0.35118067,99.22427263684244,0,7,0.333657276,99.22427263684244
sppnw11,1,7,2.045299538,97.18602312385907,3,7,2.128903996,97.18602312385907,6,7,2.141017233,97.18602312385907
sppnw12,1,7,0.276428916,86.2869828793362,1,7,0.275026901,86.2869828793362,5,7,0.288021231,86.2869828793362
sppnw13,7,6,4.551051565,73.4837631081199,33,4,6.215972746,68.58526520778746,37,3,6.394492996,65.10766911367467
sppnw14,1,9,63.374260415,86.07847980865766,1,9,63.294800099,86.07847980865766,5,9,65.48937798,86.07847980865766
sppnw15,0,3,0.305449934,100.0,0,3,0.327344042,100.0,0,3,0.305488301,100.0
sppnw16,0,2,92.168771252,1.1281603950428456,0,2,91.617177838,1.1281603950428456,0,2,92.073887714,1.1281603950428456
sppnw17,4,6,100.697021417,68.89548539562882,5,6,102.872360477,68.89548539562882,10,6,106.178559787,68.89548539562882
sppnw18,16,1,13.352439196,,20,3,13.043658874,69.15255518594749,26,1,13.593569872,
sppnw19,6,3,0.927649868,87.83520690885301,5,4,0.978489088,88.46095299645967,13,3,0.980592925,87.83520690885301
sppnw20,6,2,0.387679156,76.29244375223065,6,3,0.350060601,76.38199225190469,10,2,0.355077918,76.29244375223065
sppnw21,1,4,0.288659019,92.95346244378536,1,4,0.322019422,92.95346244378536,6,4,0.316780129,92.95346244378536
sppnw22,12,4,0.324764045,93.2885068341055,10,5,0.309597911,94.62289541652517,28,4,0.332825453,93.2885068341055
sppnw23,10,3,0.403686846,92.36200797931052,13,3,0.390216365,92.36200797931052,18,3,0.398656505,92.36200797931052
sppnw24,6,4,0.502575703,76.43830085840841,10,6,0.54274819,78.84588276729855,21,4,0.578603324,76.43830085840841
sppnw25,1,7,0.438347589,85.17032260619423,3,7,0.411438487,85.17032260619423,4,7,0.413095415,85.17032260619423
sppnw26,16,2,0.419659919,65.46317161175217,24,3,0.420669236,85.92050810901793,39,2,0.449834735,65.46317161175217
sppnw27,2,1,0.384432715,,7,1,0.430963299,,8,1,0.438344719,
sppnw28,4,3,0.393751506,92.40311215502055,5,3,0.423136468,92.40311215502055,16,3,0.453458293,92.40311215502055
sppnw29,5,3,0.755202445,78.44866545903423,5,3,0.77917039,78.44866545903423,8,4,0.760538206,80.40722196662688
sppnw30,4,3,0.672622083,95.92442339709466,6,3,0.682250583,83.77556482894798,12,3,0.7343213,83.77556482894798
sppnw31,6,6,0.849374456,83.99935219342,7,6,0.901133726,83.99935219342,9,7,0.814265997,84.0740112297674
sppnw32,8,4,0.246623354,97.5923395386242,9,5,0.259036818,98.78770337489568,17,4,0.329613291,97.5923395386242
sppnw33,11,6,0.947769418,80.0782554481946,14,6,1.041541634,84.88293613882256,25,5,1.012187512,79.7406905971527
sppnw34,3,6,0.361004359,85.54563517376532,3,6,0.375051206,85.54563517376532,14,6,0.403329436,84.27646833393274
sppnw35,5,4,0.546092355,89.70312827091136,11,5,0.587573375,93.39738823272921,13,5,0.586704548,92.36751705758618
sppnw36,8,2,0.623427785,86.13599217705293,17,2,0.699048247,86.13599217705293,27,2,0.702979057,86.13599217705293
sppnw37,0,4,0.285589747,88.23943595169168,0,4,0.287003629,88.23943595169168,0,4,0.280568837,88.23943595169168
sppnw38,16,5,0.532744875,47.61048085490361,20,4,0.554246935,56.494301045632845,30,5,0.565027744,66.3362334961277
sppnw39,8,4,0.392357548,80.3286221960918,12,5,0.412093594,62.905238982525525,34,4,0.412621963,62.905238982525525
sppnw40,6,5,0.269336596,59.38425134103588,5,4,0.283711571,74.04373137619777,17,4,0.325062057,63.798812722361696
sppnw41,1,3,0.221522797,83.74833372317015,1,3,0.226684152,83.74833372317015,6,3,0.226925,83.74833372317015
sppnw42,7,4,0.450966127,95.7031353831583,13,4,0.505658291,95.7031353831583,28,4,0.469178985,95.7031353831583
sppnw43,13,4,0.475279194,79.41835397540153,11,4,0.491748343,79.41835397540153,26,4,0.541946783,79.41835397540153
,perturbSolution!,,,,perturbSolution30!,,,,perturbSolution28a!,,,
