,perturbSolution!,,,,perturbSolution30!,,,,perturbSolution28a!,,,
Instances,#C,#U,CPUt (s),r (%),#C,#U,CPUt (s),r (%),#C,#U,CPUt (s),r (%)
sppaa03,13,5,251.389723913,76.19438806856729,15,5,250.479715581,76.19438806856729,16,5,249.736239364,76.19438806856729
sppaa05,12,5,235.833203137,69.0499675340125,10,5,223.409630468,69.0499675340125,14,5,240.113362314,69.0499675340125
sppnw01,2,10,58.808534363,81.52527316027351,2,11,59.165105794,82.4331769851849,7,10,62.952590175,81.52527316027351
sppnw03,5,5,25.341860313,80.78071719288855,7,5,25.369002959,80.78071719288855,13,5,26.770251479,80.78071719288855
sppnw04,19,3,54.356304727,55.142181457454555,18,4,55.098527903,58.973030096557785,33,3,57.400537135,55.142181457454555
sppnw05,5,6,144.497025121,26.870848750260752,8,5,160.436433222,30.836523818087613,5,6,161.513369796,33.79241079960838
sppnw06,5,3,2.925371801,78.22106743993807,6,3,3.096729196,78.22106743993807,14,3,3.075917084,78.22106743993807
sppnw07,3,8,1.469785673,78.07186884530978,3,8,1.541169002,78.16610080989216,10,7,1.544877415,77.91175580586527
sppnw08,0,5,0.24051367,82.66520611275935,0,5,0.259450495,82.66520611275935,0,5,0.241401529,82.66520611275935
sppnw09,0,6,0.741844157,87.32807851125418,0,6,0.781005453,87.32807851125418,0,6,0.703718054,87.32807851125418
sppnw10,0,7,0.309530956,99.22427263684244,0,7,0.350256755,99.22427263684244,0,7,0.346978562,99.22427263684244
sppnw11,1,7,2.046403509,97.18602312385907,1,8,2.143974189,97.20889431643404,6,7,2.141549831,97.18602312385907
sppnw12,1,8,0.276346098,89.76941405163082,2,7,0.310339362,86.2869828793362,5,7,0.286034402,86.2869828793362
sppnw13,7,5,4.522595984,74.65180951764589,28,5,5.956716767,70.63468687129237,37,3,6.487076594,65.10766911367467
sppnw14,1,9,63.945877381,86.07847980865766,1,9,62.95733042,86.07847980865766,5,9,65.895070434,86.07847980865766
sppnw15,0,3,0.313728311,100.0,0,3,0.301875932,100.0,0,3,0.303827262,100.0
sppnw16,0,2,92.475596255,1.1281603950428456,0,2,91.850988613,1.1281603950428456,0,2,91.226151226,1.1281603950428456
sppnw17,4,6,99.875107968,69.01365439113496,6,6,101.68248208,68.89548539562882,10,6,103.637826829,68.89548539562882
sppnw18,16,1,13.438135249,,24,2,13.736514251,69.14606026234253,26,1,13.786564969,
sppnw19,5,3,0.947781854,87.83520690885301,6,3,0.98037221,87.83520690885301,13,3,0.976457149,87.83520690885301
sppnw20,7,2,0.334073148,76.29244375223065,7,3,0.345528021,76.74356870447119,10,2,0.33167412,76.29244375223065
sppnw21,2,4,0.28069291,92.95346244378536,1,4,0.285168508,92.95346244378536,6,4,0.310504176,92.95346244378536
sppnw22,12,4,0.359384022,93.2885068341055,13,5,0.325864498,93.44600515713513,28,4,0.338048079,93.2885068341055
sppnw23,11,3,0.388474372,92.36200797931052,14,3,0.421407063,92.36200797931052,18,3,0.397328312,92.36200797931052
sppnw24,6,4,0.510618263,76.43830085840841,10,4,0.545417756,76.43830085840841,21,4,0.560939239,76.43830085840841
sppnw25,1,7,0.410491319,85.17032260619423,1,7,0.406393921,85.17032260619423,4,7,0.425212141,85.17032260619423
sppnw26,17,2,0.40509541,65.46317161175217,27,4,0.431389464,72.64581029651981,39,2,0.418468458,65.46317161175217
sppnw27,2,1,0.386136128,,3,1,0.426680222,,8,1,0.448016951,
sppnw28,4,3,0.403639792,92.40311215502055,5,3,0.421586963,92.40311215502055,16,3,0.424293199,92.40311215502055
sppnw29,5,3,0.724952046,78.44866545903423,8,3,0.775990138,78.44866545903423,8,4,0.737862871,80.40722196662688
sppnw30,6,3,0.698765426,95.92442339709466,9,3,0.74295649,83.77556482894798,12,3,0.71931009,83.77556482894798
sppnw31,5,6,0.81591687,83.99935219342,6,6,0.822876719,83.99935219342,9,7,0.80210163,84.0740112297674
sppnw32,5,4,0.237650127,97.5923395386242,13,4,0.28947597,97.5923395386242,17,4,0.266354628,97.5923395386242
sppnw33,7,7,0.931669328,81.8514309291614,10,5,0.971453667,94.04085534280226,25,5,1.008693939,79.7406905971527
sppnw34,3,6,0.363566522,85.54563517376532,5,6,0.409991993,85.54563517376532,14,6,0.409558671,84.27646833393274
sppnw35,5,4,0.528672666,89.70312827091136,8,4,0.56463109,89.70312827091136,13,5,0.554769166,92.36751705758618
sppnw36,9,2,0.629303519,86.13599217705293,15,2,0.695639274,86.13599217705293,27,2,0.679669665,86.13599217705293
sppnw37,0,4,0.280752537,88.23943595169168,0,4,0.282021061,88.23943595169168,0,4,0.286898631,88.23943595169168
sppnw38,11,4,0.485099963,47.61048085490361,17,5,0.523248701,66.3362334961277,30,5,0.543221676,66.3362334961277
sppnw39,9,4,0.380180906,81.18966953756943,13,7,0.381290205,68.02952831720906,34,4,0.429192947,62.905238982525525
sppnw40,4,5,0.267781734,59.38425134103588,8,4,0.283840315,58.75980486020927,17,4,0.285433977,63.798812722361696
sppnw41,1,3,0.218079824,83.74833372317015,1,3,0.215622635,83.74833372317015,6,3,0.245671684,83.74833372317015
sppnw42,8,4,0.462750205,95.7031353831583,15,3,0.476285202,99.62188045569444,28,4,0.475746126,95.7031353831583
sppnw43,7,4,0.437349809,79.41835397540153,13,4,0.457627205,80.0067556168874,26,4,0.495323684,79.41835397540153
,perturbSolution!,,,,perturbSolution30!,,,,perturbSolution28a!,,,
