,perturbSolution!,,,,perturbSolution30!,,,,perturbSolution28a!,,,
Instances,#C,#U,CPUt (s),r (%),#C,#U,CPUt (s),r (%),#C,#U,CPUt (s),r (%)
sppaa03,12,5,248.846073677,76.19438806856729,10,7,248.198336905,76.44984793825276,16,5,249.460183036,76.19438806856729
sppaa05,13,5,237.815893652,69.0499675340125,10,6,230.411001294,69.11898487378353,14,5,241.907731655,69.0499675340125
sppnw01,2,10,59.278827071,81.52527316027351,3,12,63.233683229,83.56883661083292,7,10,63.773668812,81.52527316027351
sppnw03,5,5,25.833271683,80.78071719288855,9,5,27.578725628,80.78071719288855,13,5,27.016623376,80.78071719288855
sppnw04,18,3,57.919826985,63.39364357896584,22,2,55.56290738,55.142181457454555,33,3,57.112201243,55.142181457454555
sppnw05,5,6,147.064818777,31.071749327313007,8,6,156.345457243,35.50355618374535,5,6,162.159661395,33.79241079960838
sppnw06,4,3,2.847011194,78.22106743993807,7,3,2.915705374,78.22106743993807,14,3,3.022464267,78.22106743993807
sppnw07,3,8,1.470816384,78.07186884530978,5,7,1.550212564,77.91175580586527,10,7,1.545403477,77.91175580586527
sppnw08,0,5,0.242260078,82.66520611275935,0,5,0.281128102,82.66520611275935,0,5,0.27318187,82.66520611275935
sppnw09,0,6,0.742251566,87.32807851125418,0,6,0.74275026,87.32807851125418,0,6,0.751146866,87.32807851125418
sppnw10,0,7,0.317430005,99.22427263684244,0,7,0.309823603,99.22427263684244,0,7,0.311367294,99.22427263684244
sppnw11,2,7,2.165599643,97.18602312385907,1,7,1.988124468,97.18602312385907,6,7,2.194805951,97.18602312385907
sppnw12,1,7,0.281879895,86.2869828793362,1,7,0.316109297,86.2869828793362,5,7,0.288171298,86.2869828793362
sppnw13,7,5,4.474419739,76.46920016833987,28,5,5.974305526,70.8843779515896,37,3,6.447035082,65.10766911367467
sppnw14,1,9,62.951215139,86.07847980865766,1,9,61.92070699,86.07847980865766,5,9,66.662991783,86.07847980865766
sppnw15,0,3,0.327481355,100.0,0,3,0.331171244,100.0,0,3,0.30388326,100.0
sppnw16,0,2,91.118614706,1.1281603950428456,0,2,91.878444286,1.1281603950428456,0,2,91.401098912,1.1281603950428456
sppnw17,4,6,100.037296505,68.89548539562882,5,6,103.974484889,68.89548539562882,10,6,103.414077624,68.89548539562882
sppnw18,20,1,13.28566385,,22,3,13.309342606,64.52226531160427,26,1,13.494353637,
sppnw19,5,3,0.960325123,87.83520690885301,7,3,1.012186312,87.83520690885301,13,3,1.031087463,87.83520690885301
sppnw20,5,2,0.320166872,76.29244375223065,9,2,0.345714035,76.29244375223065,10,2,0.329061981,76.29244375223065
sppnw21,1,4,0.286707245,92.95346244378536,1,4,0.289217967,92.95346244378536,6,4,0.294115079,92.95346244378536
sppnw22,12,4,0.340452504,93.2885068341055,13,5,0.349826937,93.60777322825962,28,4,0.361910981,93.2885068341055
sppnw23,11,3,0.366023606,92.36200797931052,15,3,0.364534462,92.36200797931052,18,3,0.370019928,92.36200797931052
sppnw24,6,4,0.523279592,76.43830085840841,9,5,0.537776332,77.88368588906143,21,4,0.564846714,76.43830085840841
sppnw25,1,7,0.396753,85.17032260619423,1,7,0.442489286,85.17032260619423,4,7,0.456158344,85.17032260619423
sppnw26,17,2,0.406316335,65.46317161175217,26,3,0.391995558,68.41348203841319,39,2,0.401566078,65.46317161175217
sppnw27,2,1,0.384653424,,7,1,0.486126595,,8,1,0.466706046,
sppnw28,4,3,0.418014772,92.40311215502055,4,3,0.390183001,92.40311215502055,16,3,0.406048894,92.40311215502055
sppnw29,5,3,0.754002518,78.44866545903423,6,4,0.770877428,78.45317004919055,8,4,0.780435594,80.40722196662688
sppnw30,9,3,0.716250804,83.77556482894798,5,3,0.754380705,83.77556482894798,12,3,0.755716201,83.77556482894798
sppnw31,6,6,0.845643855,83.99935219342,6,7,0.815849985,85.5552527828859,9,7,0.789387059,84.0740112297674
sppnw32,7,4,0.240420845,97.5923395386242,10,5,0.257009809,98.78770337489568,17,4,0.274381179,97.5923395386242
sppnw33,7,5,0.877382832,79.7406905971527,11,5,0.947975433,83.4224348674742,25,5,1.022463551,79.7406905971527
sppnw34,3,6,0.368064266,85.54563517376532,5,6,0.353302823,86.46567089054462,14,6,0.373114141,84.27646833393274
sppnw35,6,4,0.57741765,89.70312827091136,11,6,0.584359426,94.81501223478222,13,5,0.580282469,92.36751705758618
sppnw36,8,2,0.627496,86.13599217705293,19,2,0.677079305,86.13599217705293,27,2,0.717905856,86.13599217705293
sppnw37,0,4,0.284135876,88.23943595169168,0,4,0.289127688,88.23943595169168,0,4,0.281797189,88.23943595169168
sppnw38,12,4,0.504238777,47.61048085490361,19,3,0.538596978,91.28712499947567,30,5,0.546572757,66.3362334961277
sppnw39,8,3,0.352544372,80.32715098296632,15,6,0.424739945,68.02952831720906,34,4,0.416951315,62.905238982525525
sppnw40,5,5,0.306588172,59.38425134103588,5,5,0.308397464,58.76545934701403,17,4,0.289464229,63.798812722361696
sppnw41,1,3,0.2236559,83.74833372317015,1,3,0.221382722,83.74833372317015,6,3,0.248824094,83.74833372317015
sppnw42,7,4,0.450661617,95.7031353831583,12,4,0.476895701,95.7031353831583,28,4,0.499503162,95.7031353831583
sppnw43,12,4,0.432443046,79.41835397540153,13,4,0.449642778,79.41835397540153,26,4,0.506493234,79.41835397540153
,perturbSolution!,,,,perturbSolution30!,,,,perturbSolution28a!,,,
