,perturbSolution!,,,,perturbSolution30!,,,,perturbSolution28a!,,,
Instances,#C,#U,CPUt (s),r (%),#C,#U,CPUt (s),r (%),#C,#U,CPUt (s),r (%)
sppaa03,11,5,240.813354045,76.19438806856729,11,6,243.378406931,76.26342683289153,16,5,245.808298178,76.19438806856729
sppaa05,11,5,231.65063964,69.0499675340125,9,6,238.654775852,69.11898487378353,14,5,235.466095935,69.0499675340125
sppnw01,2,10,57.178759979,81.52527316027351,2,10,57.04785933,81.52527316027351,7,10,61.401908636,81.52527316027351
sppnw03,5,5,24.504660017,80.78071719288855,7,6,24.450587065,80.86943339208477,13,5,25.81563459,80.78071719288855
sppnw04,20,3,53.63630947,55.339003508514736,21,4,52.722699999,62.65447145349964,33,3,53.729072899,55.142181457454555
sppnw05,5,6,140.595932724,26.870848750260752,9,6,157.703999885,26.870848750260752,5,6,155.567711007,33.79241079960838
sppnw06,5,3,2.857943439,78.22106743993807,9,3,2.951695498,78.22106743993807,14,3,2.990509704,78.22106743993807
sppnw07,3,8,1.434750787,78.07186884530978,3,7,1.430453099,77.91175580586527,10,7,1.675095101,77.91175580586527
sppnw08,0,5,0.22650007,82.66520611275935,0,5,0.242400092,82.66520611275935,0,5,0.235949223,82.66520611275935
sppnw09,0,6,0.720762653,87.32807851125418,0,6,0.724936574,87.32807851125418,0,6,0.710193659,87.32807851125418
sppnw10,0,7,0.321166884,99.22427263684244,0,7,0.303506005,99.22427263684244,0,7,0.303211835,99.22427263684244
sppnw11,2,7,2.094736394,97.18602312385907,2,8,2.016211002,97.20889431643404,6,7,2.075930906,97.18602312385907
sppnw12,1,7,0.269618415,86.2869828793362,1,7,0.303284303,86.2869828793362,5,7,0.275333605,86.2869828793362
sppnw13,7,6,4.320499287,75.02370154740507,29,4,6.100480772,72.67026244084468,37,3,6.210509695,65.10766911367467
sppnw14,1,9,61.025793227,86.07847980865766,1,9,61.234638679,86.07847980865766,5,9,63.691975687,86.07847980865766
sppnw15,0,3,0.293231907,100.0,0,3,0.288254294,100.0,0,3,0.296248761,100.0
sppnw16,0,2,88.747199546,1.1281603950428456,0,2,88.96569969,1.1281603950428456,0,2,88.792062214,1.1281603950428456
sppnw17,5,6,97.195727856,68.89548539562882,6,6,99.935181684,68.89548539562882,10,6,100.488487659,68.89548539562882
sppnw18,16,1,12.953111943,,20,3,12.40906488,69.57534262006673,26,1,13.196766483,
sppnw19,4,3,0.903289044,87.83520690885301,5,3,0.898395824,87.83520690885301,13,3,0.932988464,87.83520690885301
sppnw20,4,2,0.30073508,76.29244375223065,6,3,0.324797719,76.74356870447119,10,2,0.325622623,76.29244375223065
sppnw21,1,4,0.299688698,92.95346244378536,1,4,0.295021915,92.95346244378536,6,4,0.284044049,92.95346244378536
sppnw22,12,4,0.33155975,93.2885068341055,11,5,0.298237155,93.28884031512825,28,4,0.339059356,93.2885068341055
sppnw23,11,3,0.371277244,92.36200797931052,12,4,0.393423311,92.36200797931052,18,3,0.393180533,92.36200797931052
sppnw24,6,4,0.510620813,76.43830085840841,7,6,0.497751725,78.84588276729855,21,4,0.538210688,76.43830085840841
sppnw25,1,7,0.389600089,85.17032260619423,2,7,0.410870882,85.17032260619423,4,7,0.409345698,85.17032260619423
sppnw26,15,2,0.395422589,65.46317161175217,27,3,0.389701679,68.41348203841319,39,2,0.412710617,65.46317161175217
sppnw27,2,1,0.370027877,,7,1,0.43156546,,8,1,0.436222194,
sppnw28,5,3,0.395305063,92.40311215502055,3,3,0.402742496,92.40311215502055,16,3,0.411013289,92.40311215502055
sppnw29,5,3,0.717191578,78.44866545903423,7,3,0.737303343,78.44866545903423,8,4,0.715568959,80.40722196662688
sppnw30,4,3,0.668182027,83.77556482894798,5,3,0.685120734,83.77556482894798,12,3,0.701449295,83.77556482894798
sppnw31,7,6,0.826957024,83.99935219342,9,6,0.784944986,83.99935219342,9,7,0.769025411,84.0740112297674
sppnw32,6,4,0.245139658,97.5923395386242,3,5,0.238060144,98.78770337489568,17,4,0.259711738,97.5923395386242
sppnw33,10,5,0.899691355,79.7406905971527,10,7,0.89582601,87.71666068494635,25,5,0.973079452,79.7406905971527
sppnw34,3,7,0.323730791,86.73198964338799,7,6,0.383244918,84.27646833393274,14,6,0.39973517,84.27646833393274
sppnw35,6,4,0.530259865,89.70312827091136,12,5,0.563380058,92.36751705758618,13,5,0.542321909,92.36751705758618
sppnw36,10,2,0.652555692,86.13599217705293,15,2,0.637484377,86.13599217705293,27,2,0.659100205,86.13599217705293
sppnw37,0,4,0.27234005,88.23943595169168,0,4,0.26909484,88.23943595169168,0,4,0.275455115,88.23943595169168
sppnw38,13,6,0.481993657,47.61048085490361,15,3,0.501356258,91.28712499947567,30,5,0.527650735,66.3362334961277
sppnw39,9,3,0.348955787,80.32715098296632,13,7,0.377881361,68.02952831720906,34,4,0.419674889,62.905238982525525
sppnw40,4,5,0.28930919,59.38425134103588,9,4,0.292638572,58.75980486020927,17,4,0.277900406,63.798812722361696
sppnw41,1,3,0.218132758,83.74833372317015,1,3,0.21007611,83.74833372317015,6,3,0.212262873,83.74833372317015
sppnw42,10,4,0.412807953,95.7031353831583,15,4,0.440272147,95.7031353831583,28,4,0.471069531,95.7031353831583
sppnw43,15,4,0.453632538,79.41835397540153,13,5,0.433596928,80.2561567334526,26,4,0.467835971,79.41835397540153
,perturbSolution!,,,,perturbSolution30!,,,,perturbSolution28a!,,,
