,perturbSolution!,,,,perturbSolution30!,,,,perturbSolution28a!,,,
Instances,#C,#U,CPUt (s),r (%),#C,#U,CPUt (s),r (%),#C,#U,CPUt (s),r (%)
sppaa03,11,5,251.504775363,76.19438806856729,10,7,240.458862644,76.44984793825276,16,5,254.528869174,76.19438806856729
sppaa05,13,5,236.65943264,69.0499675340125,9,6,237.784865749,72.13502852225882,14,5,243.971459381,69.0499675340125
sppnw01,2,10,57.006087678,81.52527316027351,2,10,58.63985315,81.52527316027351,7,10,62.779208158,81.52527316027351
sppnw03,5,5,24.785085054,80.78071719288855,8,5,25.687811499,82.54534236622479,13,5,26.67392141,80.78071719288855
sppnw04,20,2,53.513479818,55.142181457454555,22,3,54.976172161,56.00987144551659,33,3,55.130844829,55.142181457454555
sppnw05,5,6,143.207227606,26.870848750260752,5,6,139.679036249,35.13106983148852,5,6,158.726295655,33.79241079960838
sppnw06,7,3,2.888123997,78.22106743993807,6,3,2.96626588,78.22106743993807,14,3,3.089428759,78.22106743993807
sppnw07,3,8,1.427338069,78.07186884530978,6,7,1.498821855,77.91175580586527,10,7,1.553394328,77.91175580586527
sppnw08,0,5,0.232284479,82.66520611275935,0,5,0.241734574,82.66520611275935,0,5,0.242604476,82.66520611275935
sppnw09,0,6,0.720778458,87.32807851125418,0,6,0.738738915,87.32807851125418,0,6,0.750196355,87.32807851125418
sppnw10,0,7,0.297072892,99.22427263684244,0,7,0.309753813,99.22427263684244,0,7,0.308446488,99.22427263684244
sppnw11,1,7,2.018831306,97.18602312385907,5,7,2.204583596,97.18602312385907,6,7,2.190929511,97.18602312385907
sppnw12,1,8,0.279584938,87.86094048150991,4,7,0.313715454,86.2869828793362,5,7,0.284029713,86.2869828793362
sppnw13,7,7,4.379061359,74.80167260284615,28,4,6.031385355,71.26000263725443,37,3,6.55357952,65.10766911367467
sppnw14,1,9,60.422740593,86.07847980865766,4,9,65.128211047,86.07847980865766,5,9,64.707684292,86.07847980865766
sppnw15,0,3,0.292372725,100.0,0,3,0.346318647,100.0,0,3,0.302182442,100.0
sppnw16,0,2,88.625113279,1.1281603950428456,0,2,91.233114193,1.1281603950428456,0,2,90.607358694,1.1281603950428456
sppnw17,5,6,97.759729937,68.89548539562882,7,6,101.890973916,68.89548539562882,10,6,101.014646539,68.89548539562882
sppnw18,16,1,13.144764288,,22,3,13.459773832,69.15255518594749,26,1,13.345616823,
sppnw19,6,3,0.94625904,87.83520690885301,5,3,0.938634486,87.83520690885301,13,3,0.976650202,87.83520690885301
sppnw20,5,2,0.309399556,76.29244375223065,9,2,0.357054853,76.29244375223065,10,2,0.321712914,76.29244375223065
sppnw21,1,4,0.279114336,92.95346244378536,1,4,0.284133046,92.95346244378536,6,4,0.310239697,92.95346244378536
sppnw22,12,4,0.314936272,93.2885068341055,15,5,0.332537975,94.62289541652517,28,4,0.323629128,93.2885068341055
sppnw23,10,3,0.38944933,92.36200797931052,11,3,0.411136784,92.36200797931052,18,3,0.388385173,92.36200797931052
sppnw24,6,4,0.500860766,76.43830085840841,10,5,0.517961389,83.90372589886869,21,4,0.558549513,76.43830085840841
sppnw25,1,7,0.419163052,85.17032260619423,1,7,0.423749432,85.17032260619423,4,7,0.418674475,85.17032260619423
sppnw26,15,2,0.376357732,65.46317161175217,27,3,0.416789061,70.92251940687292,39,2,0.429968692,65.46317161175217
sppnw27,2,1,0.407204835,,7,1,0.438525463,,8,1,0.424918255,
sppnw28,5,3,0.393035766,92.40311215502055,7,3,0.419585841,92.40311215502055,16,3,0.437943006,92.40311215502055
sppnw29,4,3,0.745726508,78.44866545903423,6,3,0.750136314,78.44866545903423,8,4,0.725173302,80.40722196662688
sppnw30,8,3,0.71311404,83.77556482894798,4,3,0.709347289,83.77556482894798,12,3,0.7112344,83.77556482894798
sppnw31,5,6,0.789222816,83.99935219342,6,6,0.819673333,83.99935219342,9,7,0.808473805,84.0740112297674
sppnw32,7,4,0.234953395,97.5923395386242,9,5,0.248948376,98.78770337489568,17,4,0.258951081,97.5923395386242
sppnw33,10,5,0.954888565,79.7406905971527,10,5,0.93346982,94.04085534280226,25,5,1.004412335,79.7406905971527
sppnw34,3,7,0.322898793,86.73198964338799,4,6,0.391312218,84.27646833393274,14,6,0.366259042,84.27646833393274
sppnw35,7,4,0.578086156,89.70312827091136,13,5,0.576092015,93.39738823272921,13,5,0.591771603,92.36751705758618
sppnw36,8,2,0.620413452,86.13599217705293,13,2,0.671064763,86.13599217705293,27,2,0.679661551,86.13599217705293
sppnw37,0,4,0.280034283,88.23943595169168,0,4,0.291041564,88.23943595169168,0,4,0.274439389,88.23943595169168
sppnw38,12,5,0.486151019,47.61048085490361,17,5,0.524942685,99.87386376842848,30,5,0.537285044,66.3362334961277
sppnw39,8,3,0.355013296,80.32715098296632,16,6,0.397352548,65.90205881077553,34,4,0.427859255,62.905238982525525
sppnw40,4,5,0.25819044,59.38425134103588,10,5,0.297766414,58.76545934701403,17,4,0.278298726,63.798812722361696
sppnw41,1,3,0.205984887,83.74833372317015,1,3,0.217253564,83.74833372317015,6,3,0.21866011,83.74833372317015
sppnw42,6,4,0.436127152,95.7031353831583,12,4,0.437412765,95.7031353831583,28,4,0.48658737,95.7031353831583
sppnw43,13,4,0.42844896,79.41835397540153,16,4,0.474418616,80.0067556168874,26,4,0.498969802,79.41835397540153
,perturbSolution!,,,,perturbSolution30!,,,,perturbSolution28a!,,,
